tick,t,gps_x,gps_y,gps_position_valid,cross,gps_yaw_error,gps_heading_valid,gps_valid,lidar_valid,lane_conf,go,v,v_valid,obstacle,avoidable,done,avoid_n,avoid_age,avoid_timeout,gps_n,estop,auto_estop,avoid_zone,gps_only_zone,top,nav,avoid,safety,source,v_ref,ref_valid,ref_fresh,ref_age,blocked,route_index,route_connecting,gps_point_x,gps_point_y,gps_point_yaw,gps_point_curvature,avoid_point_x,avoid_point_y,avoid_point_yaw,avoid_point_curvature,target_point_x,target_point_y,target_point_yaw,target_point_curvature,target_n
0,1789473920.165977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1789473920.175652,0,0,0,0,0,0,0,0,0,0,-0.001552294939756393,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1789473920.185665,0,0,0,0,0,0,0,0,0,0,-0.001433940953575075,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1789473920.19565,0,0,0,0,0,0,0,0,0,0,-0.001315587083809078,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,1789473920.205666,0,0,0,0,0,0,0,0,0,0,-0.001315587083809078,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,1789473920.215677,0,0,0,0,0,0,0,0,0,0,-0.001242304220795631,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,1789473920.225657,0,0,0,0,0,0,0,0,0,0,-0.001169021357782185,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,1789473920.235672,0,0,0,0,0,0,0,0,0,0,-0.001095738494768739,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,1789473920.245676,0,0,0,0,0,0,0,0,0,0,-0.001095738494768739,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1789473920.255647,0,0,0,0,0,0,0,0,0,0,-0.0009858135599642992,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,1789473920.265678,0,0,0,0,0,0,0,0,0,0,-0.0008758886251598597,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,1789473920.275682,0,0,0,0,0,0,0,0,0,0,-0.0007659636903554201,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,1789473920.285957,0,0,0,0,0,0,0,0,0,0,-0.0007659636903554201,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,1789473920.295678,0,0,0,0,0,0,0,0,0,0,-0.0007659636903554201,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,1789473920.306804,0,0,0,0,0,0,0,0,0,0,-0.0007659636903554201,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,1789473920.315696,0,0,0,0,0,0,0,0,0,0,-0.0007659636903554201,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,1789473920.325879,0,0,0,0,0,0,0,0,0,0,-0.0007659636903554201,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,1789473920.338174,0,0,0,0,0,0,0,0,0,0,-0.0006206788239069283,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,1789473920.345681,0,0,0,0,0,0,0,0,0,0,-0.0006206788239069283,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,1789473920.35573,0,0,0,0,0,0,0,0,0,0,-0.0005480363615788519,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,1789473920.36587,0,0,0,0,0,0,0,0,0,0,-0.000475393928354606,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,1789473920.375921,0,0,0,0,0,0,0,0,0,0,-0.0004027514951303601,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,1789473920.385686,0,0,0,0,0,0,0,0,0,0,-0.0003301090619061142,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,1789473920.395689,0,0,0,0,0,0,0,0,0,0,-0.0002574666286818683,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,1789473920.405682,0,0,0,0,0,0,0,0,0,0,-0.0002574666286818683,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,1789473920.415684,0,0,0,0,0,0,0,0,0,0,-0.0001716444094199687,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,1789473920.425695,0,0,0,0,0,0,0,0,0,0,-8.582220470998436e-05,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,1789473920.435681,0,0,0,0,0,0,0,0,0,0,2.655829413109465e-18,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,1789473920.445677,0,0,0,0,0,0,0,0,0,0,2.655829413109465e-18,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,1789473920.455688,0,0,0,0,0,0,0,0,0,0,2.655829413109465e-18,1,0,0,0,0,-1,0.5,0,1,0,0,0,0,0,0,3,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
