tick,event_time_ns,monotonic_ns,vehicle_speed,vehicle_speed_valid,external_stop,autonomous_enabled,lane_confidence,gps_valid,lidar_valid,avoid_updated,avoid_maneuver_done,avoid_path_n,avoid_generation,avoid_age_s,avoid_timeout_s,obstacle,avoidable,ttc,auto_estop,estop,parking_valid,parking_wall_complete,parking_ready,parking_search,parking_request_id,traffic_fail_safe,avoid_x,avoid_y,avoid_yaw,avoid_k,gps_x,gps_y,gps_heading_valid,rear_clear,red,green,traffic_stop_required,stopline,stop_distance,gps_position_valid
0,1789395054889442868,47953941983126,0,0,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1789395054898710431,47953951250699,0,0,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1789395054908717499,47953961257756,1.730769314e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1789395054918715177,47953971255449,1.730769314e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1789395054928708039,47953981248259,1.730769314e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1789395054938711802,47953991252074,1.730769314e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1789395054948710610,47954001250789,1.730769314e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1789395054958710082,47954011250353,1.730769314e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1789395054968700543,47954021240705,1.730769314e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1789395054978711424,47954031251700,1.730769314e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1789395054988709036,47954041249310,1.730769314e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
