tick,event_time_ns,gps_x,gps_y,gps_position_valid,gps_track_index,vehicle_speed,vehicle_speed_valid,lane_confidence,gps_cross_track,gps_station_yaw_error,gps_heading_valid,avoid_obstacle_detected,avoid_avoidable,avoid_narrow_gap,avoid_maneuver_done,avoid_v_suggest,avoid_ttc,parking_v_suggest,parking_done,parking_path_blocked,traffic_red_active,traffic_green_active,traffic_stopline_detected,traffic_stop_distance,autonomous_enabled,external_stop,camera_available,gps_fixed_ready,lidar_valid,gps_fix_quality,sensor_alive_mask,front_clearance_m,left_clearance_m,right_clearance_m,lane_age_s,lane_timeout_s,gps_age_s,gps_timeout_s,avoid_age_s,avoid_timeout_s,parking_age_s,parking_timeout_s,recovery_age_s,recovery_timeout_s,avoid_points
0,1789733899899289177,0,0,0,-1,-1.0610333447403e-05,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
1,1789733899906741025,0,0,0,-1,-0.00011920526594622,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
2,1789733899916760321,0,0,0,-1,-0.00011920526594622,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
3,1789733899926738845,0,0,0,-1,-0.00011920526594622,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
4,1789733899936741789,0,0,0,-1,-0.00017619521531742,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
5,1789733899946899436,0,0,0,-1,-0.00015713273023721,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
6,1789733899956745940,0,0,0,-1,4.2810115701286e-05,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
7,1789733899966749193,0,0,0,-1,7.3287257691845e-05,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
8,1789733899979142462,0,0,0,-1,7.4282790592406e-05,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
9,1789733899990136766,0,0,0,-1,1.4210992048902e-05,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
10,1789733899996749463,0,0,0,-1,-0.00019972537120339,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
11,1789733900006747115,0,0,0,-1,-0.0002843129914254,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
12,1789733900016758765,0,0,0,-1,-0.00034806318581104,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
13,1789733900026749643,0,0,0,-1,-0.00016062885697465,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
14,1789733900036756476,0,0,0,-1,0.00012912585225422,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
15,1789733900046744709,0,0,0,-1,0.00012912585225422,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
16,1789733900056758971,0,0,0,-1,0.00025191987515427,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
17,1789733900067133757,0,0,0,-1,6.6665343183558e-05,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
18,1789733900076751661,0,0,0,-1,-0.00012525168131106,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
19,1789733900087142145,0,0,0,-1,-0.0002157450071536,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
