stamp_s,lat,lon,quality,idx,cross_track_m,at_end,fix_age_s,heading_deg,heading_src,imu_yaw_deg,offset_deg,go,route_index,route_id,sequence_id,route_connecting,station_m,station_window_low_m,station_window_high_m,station_v_ref,station_sample_time_s,preview_requested_station_m,preview_station_m,preview_index,preview_snapped
1789733900.772,37.3037523,127.9070272,4,78,0.274,0,0.080,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,0.000000,51.002753,0.000000,0.100000,21.847580,21.847580,88,0
1789733900.865,37.3037523,127.9070272,4,78,0.274,0,0.048,-133.6,융합,0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733900.964,37.3037523,127.9070272,4,78,0.274,0,0.024,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733901.064,37.3037523,127.9070272,4,78,0.274,0,0.124,-133.7,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733901.163,37.3037523,127.9070272,4,78,0.274,0,0.089,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733901.263,37.3037523,127.9070272,4,78,0.274,0,0.073,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733901.363,37.3037523,127.9070272,4,78,0.274,0,0.049,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733901.464,37.3037523,127.9070272,4,78,0.274,0,0.021,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733901.564,37.3037523,127.9070272,4,78,0.274,0,0.121,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733901.664,37.3037523,127.9070272,4,78,0.274,0,0.095,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733901.764,37.3037523,127.9070272,4,78,0.274,0,0.069,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733901.864,37.3037523,127.9070272,4,78,0.274,0,0.042,-133.7,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733901.963,37.3037523,127.9070272,4,78,0.274,0,0.019,-133.7,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733902.064,37.3037523,127.9070272,4,78,0.274,0,0.119,-133.7,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733902.165,37.3037523,127.9070272,4,78,0.274,0,0.078,-133.7,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733902.264,37.3037523,127.9070272,4,78,0.274,0,0.066,-133.7,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733902.363,37.3037523,127.9070272,4,78,0.274,0,0.044,-133.7,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733902.464,37.3037523,127.9070272,4,78,0.274,0,0.021,-133.7,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733902.564,37.3037523,127.9070272,4,78,0.274,0,0.121,-133.7,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733902.665,37.3037523,127.9070272,4,78,0.274,0,0.094,-133.7,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733902.764,37.3037523,127.9070272,4,78,0.274,0,0.065,-133.7,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733902.864,37.3037523,127.9070272,4,78,0.274,0,0.039,-133.7,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
