# window_end_epoch_us,period_min,period_mean,period_max,period_p99,late_max
1789733909886968,1624.53,10000.1,18387.5,12572.5,9373.54
1789733919886963,9690.47,10000,10309.8,10044.2,390.148
1789733929887030,3367.59,9999.99,16630.5,10044.7,6691.56
1789733939887036,3149.35,10000.1,16834.4,10090.1,6910.52
1789733949886911,5821.71,9999.89,14385.5,11272.1,4451.34
1789733959886897,2974.55,9999.97,17009.1,10040.8,7091.35
1789733969886926,3445.36,10000,16536,10043,6633.75
1789733979886944,9948.61,10000,10057.5,10036.1,116.76
1789733989886931,8598.81,10000,11375.2,10040.3,1463.47
1789733999886995,3837.94,10000,16173,10040.8,6254.11
1789734009887009,9950.92,10000,10057.9,10041.6,119.818
1789734019886947,3305.28,10000,16697.1,10040.6,6773.98
1789734029886935,3608.24,9999.98,16392.9,10037.5,6468.18
1789734039886931,3045.9,10000,16973.8,10043.8,7032.69
