generation,time_ns,zone_id,zone_valid,raw_in,stable_in,enter_count,exit_count,x,y,position_valid,track_index,previous_track_index,position_step_m,heading_rad,heading_valid,boundary_endpoint_distance_m,calibration_state
1789733900688140398,1789733900777644771,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,-1,0,-2.3325449653407211,1,0,1
1789733900816388467,1789733900876755970,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,78,0,-2.3323926104224109,1,0,1
1789733900938826443,1789733900966761133,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,78,0,-2.3325099188707412,1,0,1
1789733901073348654,1789733901166778109,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,78,0,-2.332490377885021,1,0,1
1789733901190268445,1789733901266786095,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,78,0,-2.3324379067890102,1,0,1
1789733901313940765,1789733901366779015,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,78,0,-2.3324426954897315,1,0,1
1789733901442248709,1789733901466779843,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,78,0,-2.3324901671242273,1,0,1
1789733901568193631,1789733901666781971,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,78,0,-2.3325707324655371,1,0,1
1789733901694621698,1789733901766755277,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,78,0,-2.332610453917356,1,0,1
1789733901821221075,1789733901866810312,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,78,0,-2.3326646556027102,1,0,1
1789733901944233875,1789733901966768770,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,78,0,-2.3328476032391041,1,0,1
1789733902085916679,1789733902166747322,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,78,0,-2.3327687737899767,1,0,1
1789733902197322552,1789733902266748513,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,78,0,-2.3327461957061169,1,0,1
1789733902318935442,1789733902366743409,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,78,0,-2.3326578247113088,1,0,1
1789733902441988638,1789733902466750657,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,78,0,-2.3327536380317095,1,0,1
1789733902569153606,1789733902666750427,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,78,0,-2.3326906932349241,1,0,1
1789733902698399175,1789733902766734246,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,78,0,-2.3327022298214599,1,0,1
