stamp_s,time_kst,elapsed_s,v_ref,v_act,str_ref,str_act,x,y,state,gps_position_valid,feedback_x,feedback_y,mgm_tick,mgm_age_ms,matched,feedback_gap_s
1789878033.909,2026-09-20T13:20:33.909+09:00,0.000,,-0.0005,0.0000,-0.0172,,,,,0.0000,0.0000,,,0,
1789878033.919,2026-09-20T13:20:33.919+09:00,0.010,,-0.0005,0.0000,-0.0174,,,,,0.0000,0.0000,,,0,0.010
1789878033.929,2026-09-20T13:20:33.929+09:00,0.020,,-0.0004,0.0000,-0.0171,,,,,0.0000,0.0000,,,0,0.010
1789878033.939,2026-09-20T13:20:33.939+09:00,0.030,,-0.0003,0.0000,-0.0166,,,,,0.0000,0.0000,,,0,0.010
1789878033.949,2026-09-20T13:20:33.949+09:00,0.040,,-0.0003,0.0000,-0.0172,,,,,0.0000,0.0000,,,0,0.010
1789878033.959,2026-09-20T13:20:33.959+09:00,0.050,,-0.0004,0.0000,-0.0174,,,,,0.0000,0.0000,,,0,0.010
1789878033.969,2026-09-20T13:20:33.969+09:00,0.060,,-0.0005,0.0000,-0.0177,,,,,0.0000,0.0000,,,0,0.010
1789878033.979,2026-09-20T13:20:33.979+09:00,0.070,,-0.0005,0.0000,-0.0166,,,,,0.0000,0.0000,,,0,0.010
1789878033.989,2026-09-20T13:20:33.989+09:00,0.080,,-0.0005,0.0000,-0.0169,,,,,0.0000,0.0000,,,0,0.010
1789878033.999,2026-09-20T13:20:33.999+09:00,0.090,,-0.0005,0.0000,-0.0165,,,,,0.0000,0.0000,,,0,0.010
1789878034.009,2026-09-20T13:20:34.009+09:00,0.100,,-0.0006,0.0000,-0.0165,,,,,0.0000,0.0000,,,0,0.010
1789878034.019,2026-09-20T13:20:34.019+09:00,0.110,,-0.0004,0.0000,-0.0163,,,,,0.0000,0.0000,,,0,0.010
1789878034.029,2026-09-20T13:20:34.029+09:00,0.120,,-0.0004,0.0000,-0.0161,,,,,0.0000,0.0000,,,0,0.010
1789878034.039,2026-09-20T13:20:34.039+09:00,0.130,,-0.0005,0.0000,-0.0167,,,,,0.0000,0.0000,,,0,0.010
1789878034.049,2026-09-20T13:20:34.049+09:00,0.140,0,-0.0007,0.0000,-0.0174,,,1,0,0.0000,0.0000,0,1.052225,1,0.010
1789878034.059,2026-09-20T13:20:34.059+09:00,0.150,0,-0.0007,0.0000,-0.0178,,,1,0,0.0000,0.0000,1,1.117236,1,0.010
1789878034.069,2026-09-20T13:20:34.069+09:00,0.160,0,-0.0005,0.0000,-0.0168,,,1,0,0.0000,0.0000,2,2.112872,1,0.010
1789878034.079,2026-09-20T13:20:34.079+09:00,0.170,0,-0.0003,0.0000,-0.0160,,,1,0,0.0000,0.0000,3,2.115106,1,0.010
1789878034.089,2026-09-20T13:20:34.089+09:00,0.180,0,-0.0004,0.0000,-0.0162,,,1,0,0.0000,0.0000,4,2.116789,1,0.010
1789878034.099,2026-09-20T13:20:34.099+09:00,0.190,0,-0.0006,0.0000,-0.0168,,,1,0,0.0000,0.0000,5,2.120366,1,0.010
1789878034.109,2026-09-20T13:20:34.109+09:00,0.200,0,-0.0006,0.0000,-0.0172,,,1,0,0.0000,0.0000,6,2.118887,1,0.010
1789878034.119,2026-09-20T13:20:34.119+09:00,0.210,0,-0.0006,0.0000,-0.0163,,,1,0,0.0000,0.0000,7,2.124504,1,0.010
1789878034.129,2026-09-20T13:20:34.129+09:00,0.220,0,-0.0004,0.0000,-0.0167,,,1,0,0.0000,0.0000,8,2.126760,1,0.010
1789878034.139,2026-09-20T13:20:34.139+09:00,0.230,0,-0.0003,0.0000,-0.0164,,,1,0,0.0000,0.0000,9,2.072268,1,0.010
1789878034.149,2026-09-20T13:20:34.149+09:00,0.240,0,-0.0005,0.0000,-0.0168,,,1,0,0.0000,0.0000,10,2.118917,1,0.010
1789878034.159,2026-09-20T13:20:34.159+09:00,0.250,0,-0.0008,0.0000,-0.0172,,,1,0,0.0000,0.0000,11,2.114931,1,0.010
1789878034.169,2026-09-20T13:20:34.169+09:00,0.260,0,-0.0008,0.0000,-0.0173,,,1,0,0.0000,0.0000,12,2.102769,1,0.010
1789878034.179,2026-09-20T13:20:34.179+09:00,0.270,0,-0.0006,0.0000,-0.0177,,,1,0,0.0000,0.0000,13,2.113614,1,0.010
1789878034.189,2026-09-20T13:20:34.189+09:00,0.280,0,-0.0005,0.0000,-0.0173,,,1,0,0.0000,0.0000,14,2.112516,1,0.010
1789878034.199,2026-09-20T13:20:34.199+09:00,0.290,0,-0.0004,0.0000,-0.0206,,,1,0,0.0000,0.0000,15,2.120180,1,0.010
1789878034.209,2026-09-20T13:20:34.209+09:00,0.300,0,-0.0005,0.0000,-0.0225,,,1,0,0.0000,0.0000,16,2.119374,1,0.010
1789878034.219,2026-09-20T13:20:34.219+09:00,0.310,0,-0.0005,0.0000,-0.0225,,,1,0,0.0000,0.0000,17,2.113126,1,0.010
1789878034.229,2026-09-20T13:20:34.229+09:00,0.320,0,-0.0006,0.0000,-0.0215,,,1,0,0.0000,0.0000,18,2.104818,1,0.010
1789878034.239,2026-09-20T13:20:34.239+09:00,0.330,0,-0.0004,0.0000,-0.0223,,,1,0,0.0000,0.0000,19,1.829233,1,0.010
1789878034.249,2026-09-20T13:20:34.249+09:00,0.340,0,-0.0005,0.0000,-0.0253,,,1,0,0.0000,0.0000,20,2.115829,1,0.010
1789878034.259,2026-09-20T13:20:34.259+09:00,0.350,0,-0.0005,0.0000,-0.0247,,,1,0,0.0000,0.0000,21,2.121263,1,0.010
1789878034.269,2026-09-20T13:20:34.269+09:00,0.360,0,-0.0005,0.0000,-0.0224,,,1,0,0.0000,0.0000,22,2.132608,1,0.010
1789878034.279,2026-09-20T13:20:34.279+09:00,0.370,0,-0.0005,0.0000,-0.0196,,,1,0,0.0000,0.0000,23,2.113982,1,0.010
1789878034.290,2026-09-20T13:20:34.290+09:00,0.381,0,-0.0004,0.0000,-0.0197,,,1,0,0.0000,0.0000,24,3.111700,1,0.011
1789878034.299,2026-09-20T13:20:34.299+09:00,0.390,0,-0.0005,0.0000,-0.0199,,,1,0,0.0000,0.0000,25,2.115461,1,0.009
1789878034.309,2026-09-20T13:20:34.309+09:00,0.400,0,-0.0005,0.0000,-0.0191,,,1,0,0.0000,0.0000,26,2.107986,1,0.010
1789878034.319,2026-09-20T13:20:34.319+09:00,0.410,0,-0.0008,0.0000,-0.0170,,,1,0,0.0000,0.0000,27,2.114912,1,0.010
1789878034.329,2026-09-20T13:20:34.329+09:00,0.420,0,-0.0008,0.0000,-0.0157,,,1,0,0.0000,0.0000,28,2.112102,1,0.010
1789878034.339,2026-09-20T13:20:34.339+09:00,0.430,0,-0.0006,0.0000,-0.0165,,,1,0,0.0000,0.0000,29,2.118467,1,0.010
1789878034.349,2026-09-20T13:20:34.349+09:00,0.440,0,-0.0004,0.0000,-0.0108,,,1,0,0.0000,0.0000,30,2.115974,1,0.010
1789878034.359,2026-09-20T13:20:34.359+09:00,0.450,0,-0.0003,0.0000,-0.0052,,,1,0,0.0000,0.0000,30,12.115974,1,0.010
1789878034.369,2026-09-20T13:20:34.369+09:00,0.460,0,-0.0004,0.0000,-0.0002,,,1,0,0.0000,0.0000,32,1.724109,1,0.010
1789878034.379,2026-09-20T13:20:34.379+09:00,0.470,0,-0.0006,0.0000,0.0001,,,1,0,0.0000,0.0000,33,2.084154,1,0.010
1789878034.389,2026-09-20T13:20:34.389+09:00,0.480,0,-0.0004,0.0000,-0.0027,,,1,0,0.0000,0.0000,34,2.085089,1,0.010
1789878034.399,2026-09-20T13:20:34.399+09:00,0.490,0,-0.0002,0.0000,-0.0074,,,1,0,0.0000,0.0000,35,1.728011,1,0.010
1789878034.409,2026-09-20T13:20:34.409+09:00,0.500,0,0.0000,0.0000,-0.0135,,,1,0,0.0000,0.0000,36,1.122313,1,0.010
1789878034.419,2026-09-20T13:20:34.419+09:00,0.510,0,0.0002,0.0000,-0.0151,,,1,0,0.0000,0.0000,37,2.117719,1,0.010
1789878034.429,2026-09-20T13:20:34.429+09:00,0.520,0,0.0002,0.0000,-0.0151,,,1,0,0.0000,0.0000,38,0.722926,1,0.010
1789878034.439,2026-09-20T13:20:34.439+09:00,0.530,0,0.0002,0.0000,-0.0146,,,1,0,0.0000,0.0000,39,2.101090,1,0.010
1789878034.449,2026-09-20T13:20:34.449+09:00,0.540,0,0.0006,0.0000,-0.0157,,,1,0,0.0000,0.0000,40,2.103859,1,0.010
1789878034.460,2026-09-20T13:20:34.460+09:00,0.551,0,0.0009,0.0000,-0.0151,,,1,0,0.0000,0.0000,41,3.090273,1,0.011
1789878034.469,2026-09-20T13:20:34.469+09:00,0.560,0,0.0011,0.0000,-0.0158,,,1,0,0.0000,0.0000,42,2.105869,1,0.009
1789878034.479,2026-09-20T13:20:34.479+09:00,0.570,0,0.0011,0.0000,-0.0160,,,1,0,0.0000,0.0000,43,0.631417,1,0.010
1789878034.490,2026-09-20T13:20:34.490+09:00,0.581,0,0.0008,0.0000,-0.0159,,,1,0,0.0000,0.0000,43,11.631417,1,0.011
1789878034.499,2026-09-20T13:20:34.499+09:00,0.590,0,0.0008,0.0000,-0.0162,,,1,0,0.0000,0.0000,45,0.361576,1,0.009
1789878034.509,2026-09-20T13:20:34.509+09:00,0.600,0,0.0009,0.0000,-0.0164,,,1,0,0.0000,0.0000,46,0.343705,1,0.010
1789878034.519,2026-09-20T13:20:34.519+09:00,0.610,0,0.0009,0.0000,-0.0173,,,1,0,0.0000,0.0000,47,1.081988,1,0.010
1789878034.529,2026-09-20T13:20:34.529+09:00,0.620,0,0.0010,0.0000,-0.0170,,,1,0,0.0000,0.0000,48,2.116109,1,0.010
1789878034.539,2026-09-20T13:20:34.539+09:00,0.630,0,0.0008,0.0000,-0.0170,,,1,0,0.0000,0.0000,49,2.118121,1,0.010
1789878034.549,2026-09-20T13:20:34.549+09:00,0.640,0,0.0009,0.0000,-0.0172,,,1,0,0.0000,0.0000,50,2.102786,1,0.010
1789878034.559,2026-09-20T13:20:34.559+09:00,0.650,0,0.0010,0.0000,-0.0176,,,1,0,0.0000,0.0000,51,1.916833,1,0.010
1789878034.569,2026-09-20T13:20:34.569+09:00,0.660,0,0.0009,0.0000,-0.0175,,,1,0,0.0000,0.0000,52,2.078142,1,0.010
1789878034.579,2026-09-20T13:20:34.579+09:00,0.670,0,0.0009,0.0000,-0.0166,,,1,0,0.0000,0.0000,53,2.109249,1,0.010
1789878034.589,2026-09-20T13:20:34.589+09:00,0.680,0,0.0009,0.0000,-0.0161,,,1,0,0.0000,0.0000,54,2.077265,1,0.010
1789878034.599,2026-09-20T13:20:34.599+09:00,0.690,0,0.0009,0.0000,-0.0163,,,1,0,0.0000,0.0000,55,2.070961,1,0.010
1789878034.609,2026-09-20T13:20:34.609+09:00,0.700,0,0.0011,0.0000,-0.0172,,,1,0,0.0000,0.0000,56,2.088718,1,0.010
1789878034.619,2026-09-20T13:20:34.619+09:00,0.710,0,0.0011,0.0000,-0.0172,,,1,0,0.0000,0.0000,57,2.101732,1,0.010
1789878034.629,2026-09-20T13:20:34.629+09:00,0.720,0,0.0011,0.0000,-0.0174,-0.0797086085,0.0853453333,1,1,0.0000,0.0000,58,2.042433,1,0.010
1789878034.639,2026-09-20T13:20:34.639+09:00,0.730,0,0.0011,0.0000,-0.0168,-0.0797086085,0.0853453333,1,1,0.0000,0.0000,59,2.096582,1,0.010
1789878034.649,2026-09-20T13:20:34.649+09:00,0.740,0,0.0009,0.0000,-0.0174,-0.0797086085,0.0853453333,1,1,0.0000,0.0000,60,2.083742,1,0.010
1789878034.659,2026-09-20T13:20:34.659+09:00,0.750,0,0.0007,0.0000,-0.0168,-0.0797086085,0.0853453333,1,1,0.0000,0.0000,61,2.094019,1,0.010
1789878034.670,2026-09-20T13:20:34.670+09:00,0.761,0,0.0009,0.0000,-0.0174,-0.0797086085,0.0853453333,1,1,0.0000,0.0000,62,3.092143,1,0.011
1789878034.679,2026-09-20T13:20:34.679+09:00,0.770,0,0.0011,0.0000,-0.0177,-0.0797086085,0.0853453333,1,1,0.0000,0.0000,63,2.040478,1,0.009
1789878034.689,2026-09-20T13:20:34.689+09:00,0.780,0,0.0011,0.0000,-0.0182,-0.0797086085,0.0853453333,1,1,0.0000,0.0000,64,2.101719,1,0.010
1789878034.699,2026-09-20T13:20:34.699+09:00,0.790,0,0.0008,0.0000,-0.0181,-0.0797086085,0.0853453333,1,1,0.0000,0.0000,65,2.102959,1,0.010
1789878034.709,2026-09-20T13:20:34.709+09:00,0.800,0,0.0004,0.0000,-0.0172,-0.0797086085,0.0853453333,1,1,0.0000,0.0000,66,2.093601,1,0.010
1789878034.719,2026-09-20T13:20:34.719+09:00,0.810,0,0.0001,0.0000,-0.0173,-0.0797086085,0.0853453333,1,1,0.0000,0.0000,67,2.101464,1,0.010
1789878034.734,2026-09-20T13:20:34.734+09:00,0.825,0,0.0001,0.0000,-0.0167,-0.0797086085,0.0853453333,1,1,0.0000,0.0000,68,7.098253,1,0.015
1789878034.739,2026-09-20T13:20:34.739+09:00,0.830,0,0.0002,0.0000,-0.0163,-0.0797086085,0.0853453333,1,1,0.0000,0.0000,69,2.091793,1,0.005
1789878034.749,2026-09-20T13:20:34.749+09:00,0.840,0,0.0000,0.0000,-0.0161,-0.0797086085,0.0853453333,1,1,0.0000,0.0000,70,2.085565,1,0.010
1789878034.759,2026-09-20T13:20:34.759+09:00,0.850,0,-0.0001,0.0000,-0.0163,-0.0797086085,0.0853453333,1,1,0.0000,0.0000,71,2.087755,1,0.010
1789878034.769,2026-09-20T13:20:34.769+09:00,0.860,0,-0.0003,0.0000,-0.0170,-0.0797086085,0.0853453333,1,1,0.0000,0.0000,72,2.053369,1,0.010
1789878034.779,2026-09-20T13:20:34.779+09:00,0.870,0,-0.0005,0.0000,-0.0159,-0.0797086085,0.0853453333,1,1,0.0000,0.0000,73,2.101616,1,0.010
1789878034.789,2026-09-20T13:20:34.789+09:00,0.880,0,-0.0005,0.0000,-0.0160,-0.0797086085,0.0853453333,1,1,0.0000,0.0000,74,2.093426,1,0.010
1789878034.799,2026-09-20T13:20:34.799+09:00,0.890,0,-0.0003,0.0000,-0.0152,-0.0797086085,0.0853453333,1,1,0.0000,0.0000,75,2.103717,1,0.010
1789878034.809,2026-09-20T13:20:34.809+09:00,0.900,0,-0.0003,0.0000,-0.0164,-0.0797086085,0.0853453333,1,1,0.0000,0.0000,76,2.090496,1,0.010
1789878034.819,2026-09-20T13:20:34.819+09:00,0.910,0,-0.0004,0.0000,-0.0158,-0.0797086085,0.0853453333,1,1,0.0000,0.0000,77,2.102476,1,0.010
1789878034.829,2026-09-20T13:20:34.829+09:00,0.920,0,-0.0004,0.0000,-0.0167,-0.0797086085,0.0853453333,1,1,0.0000,0.0000,78,2.048500,1,0.010
1789878034.839,2026-09-20T13:20:34.839+09:00,0.930,0,-0.0002,0.0000,-0.0166,-0.0797086085,0.0853453333,1,1,0.0000,0.0000,79,2.096989,1,0.010
1789878034.849,2026-09-20T13:20:34.849+09:00,0.940,0,-0.0002,0.0000,-0.0172,-0.0797086085,0.0853453333,1,1,0.0000,0.0000,80,2.093257,1,0.010
1789878034.859,2026-09-20T13:20:34.859+09:00,0.950,0,-0.0002,0.0000,-0.0162,-0.0797086085,0.0853453333,1,1,0.0000,0.0000,81,2.097840,1,0.010
1789878034.869,2026-09-20T13:20:34.869+09:00,0.960,0,-0.0004,0.0000,-0.0166,-0.0797086085,0.0853453333,1,1,0.0000,0.0000,82,2.094406,1,0.010
1789878034.879,2026-09-20T13:20:34.879+09:00,0.970,0,-0.0004,0.0000,-0.0160,-0.0797086085,0.0853453333,1,1,0.0000,0.0000,83,2.098427,1,0.010
