tick,time,v_ref,top,navigation,avoidance,safety,mission,source,x,y,position_valid
0,1789654099.025169134,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
1,1789654099.034131050,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
2,1789654099.044119358,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
3,1789654099.054130077,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
4,1789654099.064131260,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
5,1789654099.074126959,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
6,1789654099.084127426,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
7,1789654099.094123602,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
8,1789654099.104203463,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
9,1789654099.114130735,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
10,1789654099.124760628,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
11,1789654099.134134293,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
12,1789654099.144136429,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
13,1789654099.154124975,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
14,1789654099.164132833,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
15,1789654099.174133301,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
16,1789654099.184132814,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
17,1789654099.194136858,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
18,1789654099.204126120,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
19,1789654099.214133263,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
20,1789654099.224130392,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
21,1789654099.234128714,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
22,1789654099.244132280,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
23,1789654099.254144192,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
24,1789654099.264155865,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
25,1789654099.274539948,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
26,1789654099.284259319,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
27,1789654099.294136286,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
28,1789654099.304180145,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
29,1789654099.314126015,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
30,1789654099.326238155,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
31,1789654099.334129333,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
32,1789654099.348736525,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
33,1789654099.354135990,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
34,1789654099.364133835,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
35,1789654099.374141932,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
36,1789654099.384127855,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
37,1789654099.394133806,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
38,1789654099.404137135,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
39,1789654099.414128304,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
40,1789654099.425931931,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
41,1789654099.434152603,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
42,1789654099.444079399,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
43,1789654099.454129934,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
44,1789654099.464781761,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
45,1789654099.474131346,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
46,1789654099.484123945,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
47,1789654099.494128942,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
48,1789654099.504230261,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
49,1789654099.514126062,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
50,1789654099.524219751,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
51,1789654099.534140587,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
52,1789654099.544125557,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
53,1789654099.554112434,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
54,1789654099.564235449,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
55,1789654099.574345112,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
56,1789654099.584128857,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
57,1789654099.594116211,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
58,1789654099.604131937,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
59,1789654099.614112616,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
60,1789654099.624156475,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
61,1789654099.634114742,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
62,1789654099.644133806,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
63,1789654099.654113293,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
64,1789654099.664118290,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
65,1789654099.674136639,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
66,1789654099.684137106,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
67,1789654099.694106817,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
68,1789654099.704118967,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
69,1789654099.714109659,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
70,1789654099.724144459,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
71,1789654099.734144688,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
72,1789654099.744115353,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
73,1789654099.754135370,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
74,1789654099.764117479,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
75,1789654099.774130583,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
76,1789654099.784137964,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
77,1789654099.794120550,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
