         310228 function calls (309704 primitive calls) in 0.056 seconds

   Ordered by: cumulative time
   List reduced from 204 to 18 due to restriction <18>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.056    0.056 node.py:245(on_scan)
        1    0.000    0.000    0.055    0.055 path_io.py:164(_station_reference)
        1    0.000    0.000    0.049    0.049 gps_cubic_path.py:155(step)
        5    0.000    0.000    0.046    0.009 gps_cubic_path.py:134(_curve)
       20    0.009    0.000    0.037    0.002 gps_cubic_path.py:51(cubic_connector)
    29958    0.011    0.000    0.020    0.000 {built-in method builtins.sum}
     4993    0.002    0.000    0.009    0.000 gps_cubic_path.py:74(<listcomp>)
     4993    0.002    0.000    0.009    0.000 gps_cubic_path.py:75(<listcomp>)
       20    0.000    0.000    0.008    0.000 offline_audit.py:22(check)
     4993    0.002    0.000    0.008    0.000 gps_cubic_path.py:76(<listcomp>)
       20    0.000    0.000    0.007    0.000 gps_cubic_path.py:107(_safe)
        1    0.000    0.000    0.007    0.007 offline_audit.py:27(count_goals)
        1    0.000    0.000    0.007    0.007 path_io.py:141(_path_goals)
       16    0.005    0.000    0.006    0.000 station_path.py:127(footprint_clear)
       52    0.000    0.000    0.006    0.000 node.py:340(_target_clear)
       52    0.002    0.000    0.005    0.000 node.py:314(_behind_surface)
    49930    0.003    0.000    0.003    0.000 gps_cubic_path.py:74(<genexpr>)
    49930    0.003    0.000    0.003    0.000 gps_cubic_path.py:75(<genexpr>)


