         287670 function calls (287358 primitive calls) in 0.051 seconds

   Ordered by: cumulative time
   List reduced from 201 to 18 due to restriction <18>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.051    0.051 node.py:245(on_scan)
        1    0.000    0.000    0.051    0.051 path_io.py:164(_station_reference)
        1    0.000    0.000    0.044    0.044 gps_cubic_path.py:155(step)
        4    0.000    0.000    0.040    0.010 gps_cubic_path.py:134(_curve)
       16    0.008    0.000    0.033    0.002 gps_cubic_path.py:51(cubic_connector)
    26286    0.010    0.000    0.018    0.000 {built-in method builtins.sum}
     4381    0.002    0.000    0.008    0.000 gps_cubic_path.py:74(<listcomp>)
     4381    0.002    0.000    0.008    0.000 gps_cubic_path.py:75(<listcomp>)
     4381    0.002    0.000    0.008    0.000 gps_cubic_path.py:76(<listcomp>)
       16    0.000    0.000    0.007    0.000 offline_audit.py:22(check)
        1    0.000    0.000    0.007    0.007 offline_audit.py:27(count_goals)
        1    0.000    0.000    0.007    0.007 path_io.py:141(_path_goals)
       52    0.000    0.000    0.006    0.000 node.py:340(_target_clear)
       16    0.000    0.000    0.006    0.000 gps_cubic_path.py:107(_safe)
       52    0.002    0.000    0.006    0.000 node.py:314(_behind_surface)
       16    0.004    0.000    0.005    0.000 station_path.py:127(footprint_clear)
     6949    0.002    0.000    0.003    0.000 node.py:32(wrap_to_pi)
    43810    0.003    0.000    0.003    0.000 gps_cubic_path.py:74(<genexpr>)


