         528391 function calls (527335 primitive calls) in 0.100 seconds

   Ordered by: cumulative time
   List reduced from 201 to 18 due to restriction <18>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.100    0.100 node.py:245(on_scan)
        1    0.000    0.000    0.099    0.099 path_io.py:164(_station_reference)
        1    0.000    0.000    0.087    0.087 gps_cubic_path.py:155(step)
        7    0.000    0.000    0.083    0.012 gps_cubic_path.py:134(_curve)
       28    0.015    0.001    0.065    0.002 gps_cubic_path.py:51(cubic_connector)
    51798    0.020    0.000    0.036    0.000 {built-in method builtins.sum}
       28    0.000    0.000    0.017    0.001 offline_audit.py:22(check)
     8633    0.004    0.000    0.016    0.000 gps_cubic_path.py:74(<listcomp>)
       28    0.000    0.000    0.016    0.001 gps_cubic_path.py:107(_safe)
     8633    0.004    0.000    0.015    0.000 gps_cubic_path.py:75(<listcomp>)
     8633    0.003    0.000    0.015    0.000 gps_cubic_path.py:76(<listcomp>)
       28    0.012    0.000    0.014    0.001 station_path.py:127(footprint_clear)
        1    0.000    0.000    0.012    0.012 offline_audit.py:27(count_goals)
        1    0.000    0.000    0.012    0.012 path_io.py:141(_path_goals)
       88    0.000    0.000    0.011    0.000 node.py:340(_target_clear)
       88    0.003    0.000    0.009    0.000 node.py:314(_behind_surface)
    86330    0.006    0.000    0.006    0.000 gps_cubic_path.py:74(<genexpr>)
    86330    0.005    0.000    0.005    0.000 gps_cubic_path.py:75(<genexpr>)


