tick,event_time_ns,monotonic_ns,vehicle_speed,vehicle_speed_valid,external_stop,autonomous_enabled,lane_confidence,gps_valid,lidar_valid,avoid_updated,avoid_maneuver_done,avoid_path_n,avoid_generation,avoid_age_s,avoid_timeout_s,obstacle,avoidable,ttc,avoid_x,avoid_y,avoid_yaw,avoid_k
0,1789393210120080896,46109172621168,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
1,1789393210132685880,46109185226153,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
2,1789393210140157252,46109192697522,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
3,1789393210148904203,46109201444476,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
4,1789393210158904583,46109211444762,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
5,1789393210168903806,46109221444079,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
6,1789393210178903755,46109231444028,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
7,1789393210188903867,46109241444141,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
8,1789393210201491453,46109254031727,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
9,1789393210208902573,46109261442836,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
10,1789393210222492132,46109275032398,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
11,1789393210228904478,46109281444744,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
12,1789393210238906925,46109291447199,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
13,1789393210248910013,46109301450289,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
14,1789393210258906630,46109311446904,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
15,1789393210268909409,46109321449683,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
16,1789393210278904664,46109331444938,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
17,1789393210288910322,46109341450596,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
18,1789393210301524094,46109354064369,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
19,1789393210308917025,46109361457295,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
20,1789393210318909442,46109371449711,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
