tick,event_time_ns,time_kst,seconds_from_detection,v_ref,v_act,stopline_detected,remaining_m,distance_known,signal
3253,1789335623826466222,06:40:23.826,-1.9996821880340576,2.0,1.93400085,0,,0,1
3254,1789335623836987868,06:40:23.836,-1.9891605377197266,2.0,1.934998155,0,,0,1
3255,1789335623846202287,06:40:23.846,-1.9799461364746094,2.0,1.934998155,0,,0,1
3256,1789335623856121774,06:40:23.856,-1.9700267314910889,2.0,1.934340477,0,,0,1
3257,1789335623866124888,06:40:23.866,-1.9600236415863037,2.0,1.935015917,0,,0,1
3258,1789335623876153895,06:40:23.876,-1.9499945640563965,2.0,1.935257077,0,,0,1
3259,1789335623886164365,06:40:23.886,-1.9399840831756592,2.0,1.936109662,0,,0,1
3260,1789335623896161236,06:40:23.896,-1.9299871921539307,2.0,1.93571651,0,,0,1
3261,1789335623906135302,06:40:23.906,-1.920013189315796,2.0,1.93571651,0,,0,1
3262,1789335623916163031,06:40:23.916,-1.9099855422973633,2.0,1.936598539,0,,0,1
3263,1789335623926563099,06:40:23.926,-1.899585485458374,2.0,1.936038017,0,,0,1
3264,1789335623936126284,06:40:23.936,-1.8900222778320312,2.0,1.936038017,0,,0,1
3265,1789335623946148561,06:40:23.946,-1.8799998760223389,2.0,1.936870456,0,,0,1
3266,1789335623956125205,06:40:23.956,-1.870023250579834,2.0,1.935907364,0,,0,1
3267,1789335623966127257,06:40:23.966,-1.8600211143493652,2.0,1.936225653,0,,0,1
3268,1789335623976131237,06:40:23.976,-1.8500170707702637,2.0,1.936225653,0,,0,1
3269,1789335623986140958,06:40:23.986,-1.8400075435638428,2.0,1.935452461,0,,0,1
3270,1789335623996214118,06:40:23.996,-1.8299345970153809,2.0,1.935452461,0,,0,1
3271,1789335624006167730,06:40:24.006,-1.8199806213378906,2.0,1.935083866,0,,0,1
3272,1789335624016184289,06:40:24.016,-1.8099641799926758,2.0,1.934456825,0,,0,1
3273,1789335624026249865,06:40:24.026,-1.799898624420166,2.0,1.933550835,0,,0,1
