tick,event_time_ns,stopline_detected,stop_distance,red,green,vehicle_speed,vehicle_speed_valid
0,1789335591296173990,0,0,0,0,0,0
1,1789335591306129483,0,0,0,0,0,0
2,1789335591316125984,0,0,0,0,0,0
3,1789335591326153319,0,0,0,0,0,0
4,1789335591336171533,0,0,0,0,0,0
5,1789335591348164165,0,0,0,0,0,0
6,1789335591356133524,0,0,0,0,0,0
7,1789335591367011368,0,0,0,0,0,0
8,1789335591376132788,0,0,0,0,0,0
9,1789335591386131305,0,0,0,0,0,0
10,1789335591396125515,0,0,0,0,-0.0001082985036,1
11,1789335591406121718,0,0,0,0,-0.0001102844326,1
12,1789335591416130338,0,0,0,0,-9.409058111e-05,1
13,1789335591426134889,0,0,0,0,-9.818803665e-05,1
14,1789335591439136712,0,0,0,0,4.614523641e-05,1
15,1789335591446133072,0,0,0,0,0.0001052452644,1
16,1789335591456135020,0,0,0,0,0.0001052452644,1
17,1789335591466135503,0,0,0,0,0.0001029592022,1
18,1789335591476146660,0,0,0,0,-5.611338202e-05,1
19,1789335591486139330,0,0,0,0,-0.0001333369437,1
20,1789335591496137073,0,0,0,0,-0.0001205094595,1
21,1789335591506136155,0,0,0,0,3.96571304e-05,1
22,1789335591516150319,0,0,0,0,6.660591316e-05,1
23,1789335591526162615,0,0,0,0,4.247896868e-05,1
24,1789335591536135451,0,0,0,0,2.770752144e-05,1
25,1789335591546142524,0,0,0,0,-7.832694246e-05,1
26,1789335591556131789,0,0,0,0,-0.0001684501331,1
27,1789335591566146760,0,0,0,0,-0.0001480581996,1
28,1789335591576129074,0,0,0,0,-3.162101348e-05,1
29,1789335591586131868,0,0,0,0,0.0001540263038,1
30,1789335591596131463,0,0,0,0,0.0002242475166,1
31,1789335591606121275,0,0,0,0,6.820295675e-05,1
32,1789335591616130198,0,0,0,0,-0.0001502648374,1
33,1789335591626118443,0,0,0,0,-0.0003470195807,1
34,1789335591636128847,0,0,0,0,-0.0002676608565,1
35,1789335591646116573,0,0,0,0,-2.471162043e-05,1
36,1789335591656131730,0,0,0,0,0.000151193788,1
37,1789335591666131869,0,0,0,0,0.000311761105,1
38,1789335591676118968,0,0,0,0,0.0001549759909,1
39,1789335591687137485,0,0,0,0,-9.3968687e-05,1
40,1789335591696139738,0,0,0,0,-0.0003081780451,1
41,1789335591706134664,0,0,0,0,-0.0003081780451,1
42,1789335591716136528,0,0,0,0,-0.0003081780451,1
43,1789335591726136870,0,0,0,0,4.967687346e-06,1
44,1789335591737099918,0,0,0,0,0.0002603363828,1
45,1789335591746253291,0,0,0,0,0.0001147801086,1
46,1789335591760111427,0,0,0,0,-0.0001127407304,1
47,1789335591766232780,0,0,0,0,-0.000320313673,1
48,1789335591776154689,0,0,0,0,-0.000320313673,1
49,1789335591789445000,0,0,0,0,-4.301182798e-06,1
50,1789335591797413319,0,0,0,0,0.0001944832911,1
51,1789335591807197370,0,0,0,0,0.0002096061362,1
52,1789335591817148903,0,0,0,0,8.958986291e-05,1
53,1789335591826143928,0,0,0,0,-0.000103451508,1
54,1789335591836143059,0,0,0,0,-0.0002883787092,1
55,1789335591846143124,0,0,0,0,-0.0002139594581,1
56,1789335591857159303,0,0,0,0,3.930625553e-06,1
57,1789335591866142843,0,0,0,0,0.0001898165356,1
58,1789335591877055651,0,0,0,0,0.0002402343816,1
59,1789335591886133549,0,0,0,0,9.013764065e-05,1
60,1789335591896136397,0,0,0,0,-0.0001449707925,1
61,1789335591906135811,0,0,0,0,-0.0001994588674,1
62,1789335591916166118,0,0,0,0,-2.578503154e-05,1
63,1789335591926152171,0,0,0,0,0.0001738015708,1
64,1789335591936149886,0,0,0,0,0.0002158385178,1
65,1789335591946153727,0,0,0,0,6.687452696e-05,1
66,1789335591956236884,0,0,0,0,-0.0001479113416,1
67,1789335591966139953,0,0,0,0,-0.0003194204182,1
68,1789335591976179778,0,0,0,0,-0.0001556501957,1
69,1789335591986192948,0,0,0,0,7.442377682e-05,1
70,1789335591996197293,0,0,0,0,0.0002790184226,1
71,1789335592006156375,0,0,0,0,0.0003165406233,1
72,1789335592016151397,0,0,0,0,0.0001807470835,1
73,1789335592026149862,0,0,0,0,-4.564099436e-05,1
74,1789335592036144600,0,0,0,0,-0.0002644173219,1
75,1789335592046150885,0,0,0,0,-0.0001601125987,1
76,1789335592056150643,0,0,0,0,1.011388304e-05,1
77,1789335592066146592,0,0,0,0,0.0001975647901,1
