family,scene,initial_speed,cruise_speed,spacing,cars,result,time,x,y,speed_min,vehicle_contact,curb_contact,max_ms,reason
entry_speed,s_center_gap_2,0.2,1,0,2,hold,4.4,4.342785857,1.087328953,0.2,0,0,5.865914,wall midline has no certified forward rollout
cruise_speed,s_center_gap_2,0.2,0.2,0,2,hold,16.7,4.248899302,1.089420729,0.2,0,0,4.268926,wall midline has no certified forward rollout
entry_speed,s_center_gap_2,0.4,1,0,2,hold,4,4.357678252,1.092741095,0.4,0,0,6.035904,wall midline has no certified forward rollout
cruise_speed,s_center_gap_2,0.4,0.4,0,2,hold,8.7,4.388727898,1.091457524,0.4,0,0,4.604243,wall midline has no certified forward rollout
entry_speed,s_center_gap_2,0.6,1,0,2,hold,3.7,4.357741053,1.092437967,0.6,0,0,5.925061,wall midline has no certified forward rollout
cruise_speed,s_center_gap_2,0.6,0.6,0,2,hold,5.1,3.968668979,1.074919209,0.6,0,0,5.249975,wall midline has no certified forward rollout
entry_speed,s_center_gap_2,0.8,1,0,2,hold,3.5,4.340338023,1.090237204,0.8,0,0,6.122264,wall midline has no certified forward rollout
cruise_speed,s_center_gap_2,0.8,0.8,0,2,hold,4.2,4.268189315,1.090850094,0.8,0,0,5.536887,wall midline has no certified forward rollout
entry_speed,s_center_gap_2,1,1,0,2,hold,3.4,4.30787167,1.091379978,1,0,0,6.224387,wall midline has no certified forward rollout
cruise_speed,s_center_gap_2,1,1,0,2,hold,3.4,4.30787167,1.091379978,1,0,0,7.536406,wall midline has no certified forward rollout
entry_speed,straight_center_2,0.2,1,0,2,hold,2.1,1.774259876,0.1644938204,0.2,0,0,2.016478,wall midline has no certified forward rollout
cruise_speed,straight_center_2,0.2,0.2,0,2,hold,6.2,2.230137246,0.1312730875,0.2,0,0,2.132759,wall midline has no certified forward rollout
entry_speed,straight_center_2,0.4,1,0,2,hold,1,1.481138114,0.03612806221,0.4,0,0,1.980385,wall midline has no certified forward rollout
cruise_speed,straight_center_2,0.4,0.4,0,2,hold,2.7,2.074439635,0.09267145571,0.4,0,0,2.224542,wall midline has no certified forward rollout
entry_speed,straight_center_2,0.6,1,0,2,hold,0.9,1.605453279,0.04739797814,0.6,0,0,2.095932,wall midline has no certified forward rollout
cruise_speed,straight_center_2,0.6,0.6,0,2,hold,1.6,1.95716414,0.05985583308,0.6,0,0,2.325736,wall midline has no certified forward rollout
entry_speed,straight_center_2,0.8,1,0,2,hold,0.8,1.690734751,0.05219428438,0.8,0,0,2.175766,wall midline has no certified forward rollout
cruise_speed,straight_center_2,0.8,0.8,0,2,hold,0.9,1.719257345,0.0256638633,0.8,0,0,2.183794,wall midline has no certified forward rollout
entry_speed,straight_center_2,1,1,0,2,hold,0.7,1.697626378,0.04503863817,1,0,0,2.202507,wall midline has no certified forward rollout
cruise_speed,straight_center_2,1,1,0,2,hold,0.7,1.697626378,0.04503863817,1,0,0,2.210997,wall midline has no certified forward rollout
entry_speed,s_center_gap_3,0.2,1,0,3,complete,27.2,15.01498048,-0.9437813574,0.2,0,0,5.851947,wall corridor speed profile revalidated
cruise_speed,s_center_gap_3,0.2,0.2,0,3,hold,23.4,5.584503615,1.023236995,0.2,0,0,4.287761,current braking envelope blocked or unknown
entry_speed,s_center_gap_3,0.4,1,0,3,complete,26.8,15.01542217,-0.9432604154,0.2,0,0,6.082834,wall corridor speed profile revalidated
cruise_speed,s_center_gap_3,0.4,0.4,0,3,complete,42.9,14.83327043,-0.9796241728,0.2,0,0,4.781549,wall corridor speed profile revalidated
entry_speed,s_center_gap_3,0.6,1,0,3,complete,26.5,15.01420021,-0.9435125462,0.2,0,0,5.947199,wall corridor speed profile revalidated
cruise_speed,s_center_gap_3,0.6,0.6,0,3,complete,32.9,14.92139403,-0.9640156655,0.2,0,0,5.159936,wall corridor speed profile revalidated
entry_speed,s_center_gap_3,0.8,1,0,3,complete,26.3,14.96480233,-0.9526700392,0.2,0,0,6.000676,wall corridor speed profile revalidated
cruise_speed,s_center_gap_3,0.8,0.8,0,3,complete,28.9,14.98779791,-0.9495104648,0.2,0,0,5.362081,wall corridor speed profile revalidated
entry_speed,s_center_gap_3,1,1,0,3,complete,26.2,14.99135458,-0.9473271078,0.2,0,0,6.228032,wall corridor speed profile revalidated
cruise_speed,s_center_gap_3,1,1,0,3,complete,26.2,14.99135458,-0.9473271078,0.2,0,0,6.054244,wall corridor speed profile revalidated
entry_speed,straight_center_3,0.2,1,0,3,hold,2.1,1.774259876,0.1644938204,0.2,0,0,2.021432,wall midline has no certified forward rollout
cruise_speed,straight_center_3,0.2,0.2,0,3,hold,6.2,2.230137246,0.1312730875,0.2,0,0,2.265719,wall midline has no certified forward rollout
entry_speed,straight_center_3,0.4,1,0,3,hold,1,1.481138114,0.03612806221,0.4,0,0,1.956787,wall midline has no certified forward rollout
cruise_speed,straight_center_3,0.4,0.4,0,3,hold,2.7,2.074439635,0.09267145571,0.4,0,0,2.285898,wall midline has no certified forward rollout
entry_speed,straight_center_3,0.6,1,0,3,hold,0.9,1.605453279,0.04739797814,0.6,0,0,2.066302,wall midline has no certified forward rollout
cruise_speed,straight_center_3,0.6,0.6,0,3,hold,1.6,1.95716414,0.05985583308,0.6,0,0,2.271627,wall midline has no certified forward rollout
entry_speed,straight_center_3,0.8,1,0,3,hold,0.8,1.690734751,0.05219428438,0.8,0,0,2.257777,wall midline has no certified forward rollout
cruise_speed,straight_center_3,0.8,0.8,0,3,hold,0.9,1.719257345,0.0256638633,0.8,0,0,2.211763,wall midline has no certified forward rollout
entry_speed,straight_center_3,1,1,0,3,hold,0.7,1.697626378,0.04503863817,1,0,0,2.106491,wall midline has no certified forward rollout
cruise_speed,straight_center_3,1,1,0,3,hold,0.7,1.697626378,0.04503863817,1,0,0,2.401584,wall midline has no certified forward rollout
longitudinal_spacing,straight_alternate_2_rl,1,1,1,2,hold,2.3,3.229154554,0.4261344139,0.8768447974,0,0,3.916701,wall midline has no certified forward rollout
longitudinal_spacing,straight_alternate_2_rl,1,1,1.5,2,hold,0.4,1.399998648,-0.0008181670583,1,0,0,0.990574,wall midline has no certified forward rollout
longitudinal_spacing,straight_alternate_2_rl,1,1,2,2,hold,3.6,4.084832514,0.2663353932,0.4141589189,0,0,3.432196,wall midline has no certified forward rollout
longitudinal_spacing,straight_alternate_2_rl,1,1,2.5,2,complete,31.5,12.50552325,-0.03155773925,0.2,0,0,4.163781,wall corridor speed profile revalidated
longitudinal_spacing,straight_alternate_2_rl,1,1,3.5,2,complete,33.6,12.53599991,-0.04385598766,0.2,0,0,2.832726,wall corridor speed profile revalidated
longitudinal_spacing,straight_alternate_2_rl,1,1,4.5,2,complete,30.1,12.53403868,-0.06741435459,0.2266666667,0,0,1.044319,wall corridor speed profile revalidated
longitudinal_spacing,straight_alternate_2_lr,1,1,1,2,hold,2.3,3.219471038,-0.4964376489,0.8763664446,0,0,3.424409,wall midline has no certified forward rollout
longitudinal_spacing,straight_alternate_2_lr,1,1,1.5,2,hold,0.4,1.399990329,-0.002148989102,1,0,0,0.995753,wall midline has no certified forward rollout
longitudinal_spacing,straight_alternate_2_lr,1,1,2,2,hold,3.6,4.074873522,-0.3226762675,0.4486255916,0,0,3.148021,wall midline has no certified forward rollout
