family,scene,initial_speed,cruise_speed,spacing,cars,result,time,x,y,speed_min,vehicle_contact,curb_contact,max_ms,next_braking_failures,reason
entry_speed,s_center_gap_2,0.2,1,0,2,complete,28.7,15.03322221,-0.9368212581,0.2,0,0,10.863373,0,wall corridor speed profile revalidated
cruise_speed,s_center_gap_2,0.2,0.2,0,2,complete,71.1,14.79976272,-0.977854678,0.2,0,0,7.502847,0,wall corridor speed profile revalidated
entry_speed,s_center_gap_2,0.4,1,0,2,complete,28.3,15.04313247,-0.9348415412,0.2,0,0,10.853343,0,wall corridor speed profile revalidated
cruise_speed,s_center_gap_2,0.4,0.4,0,2,complete,41.7,14.8637292,-0.9666926704,0.2,0,0,8.811438,0,wall corridor speed profile revalidated
entry_speed,s_center_gap_2,0.6,1,0,2,complete,28,15.03771203,-0.9363817867,0.2,0,0,11.305541,0,wall corridor speed profile revalidated
cruise_speed,s_center_gap_2,0.6,0.6,0,2,complete,44.7,14.89074804,-0.9623709242,0.2,0,0,9.473351,0,wall corridor speed profile revalidated
entry_speed,s_center_gap_2,0.8,1,0,2,complete,27.8,15.02043392,-0.9393783153,0.2,0,0,11.430506,0,wall corridor speed profile revalidated
cruise_speed,s_center_gap_2,0.8,0.8,0,2,complete,28.7,14.93468406,-0.9550254695,0.2,0,0,11.361091,0,wall corridor speed profile revalidated
entry_speed,s_center_gap_2,1,1,0,2,complete,27.8,14.95724426,-0.9520555183,0.2,0,0,11.766568,0,wall corridor speed profile revalidated
cruise_speed,s_center_gap_2,1,1,0,2,complete,27.8,14.95724426,-0.9520555183,0.2,0,0,12.190283,0,wall corridor speed profile revalidated
entry_speed,straight_center_2,0.2,1,0,2,hold,3.3,2.466552641,0.1767007475,0.2,0,0,9.647014,0,wall midline has no certified forward rollout
cruise_speed,straight_center_2,0.2,0.2,0,2,hold,7,2.388085345,0.1686633326,0.2,0,0,9.525051,0,wall midline has no certified forward rollout
entry_speed,straight_center_2,0.4,1,0,2,hold,2.6,2.488236856,0.1728889652,0.4,0,0,9.555163,0,wall midline has no certified forward rollout
cruise_speed,straight_center_2,0.4,0.4,0,2,hold,3.7,2.383370054,0.1611422714,0.2258866371,0,0,9.304764,0,wall midline has no certified forward rollout
entry_speed,straight_center_2,0.6,1,0,2,hold,2.1,2.467779916,0.1606074471,0.5475,0,0,9.803881,0,wall midline has no certified forward rollout
cruise_speed,straight_center_2,0.6,0.6,0,2,hold,2.4,2.404902687,0.1516851531,0.46,0,0,10.656821,0,wall midline has no certified forward rollout
entry_speed,straight_center_2,0.8,1,0,2,hold,1.6,2.377390709,0.1467211885,0.7315420156,0,0,13.107286,0,wall midline has no certified forward rollout
cruise_speed,straight_center_2,0.8,0.8,0,2,hold,1.9,2.488182728,0.165717976,0.691346875,0,0,10.558113,0,wall midline has no certified forward rollout
entry_speed,straight_center_2,1,1,0,2,hold,1.5,2.393009394,0.1409435775,0.7327347702,0,0,12.5432,0,wall midline has no certified forward rollout
cruise_speed,straight_center_2,1,1,0,2,hold,1.5,2.393009394,0.1409435775,0.7327347702,0,0,12.885421,0,wall midline has no certified forward rollout
entry_speed,s_center_gap_3,0.2,1,0,3,complete,30.3,14.95705893,-0.9517356029,0.2,0,0,10.954435,0,wall corridor speed profile revalidated
cruise_speed,s_center_gap_3,0.2,0.2,0,3,complete,71.3,14.79678377,-0.9822295381,0.2,0,0,7.427358,0,wall corridor speed profile revalidated
entry_speed,s_center_gap_3,0.4,1,0,3,complete,29.9,14.96764075,-0.94965834,0.2,0,0,10.815309,0,wall corridor speed profile revalidated
cruise_speed,s_center_gap_3,0.4,0.4,0,3,complete,43.3,14.86530645,-0.9696922052,0.2,0,0,8.650779,0,wall corridor speed profile revalidated
entry_speed,s_center_gap_3,0.6,1,0,3,complete,29.4,14.96977462,-0.9492399365,0.2,0,0,11.136172,0,wall corridor speed profile revalidated
cruise_speed,s_center_gap_3,0.6,0.6,0,3,complete,50.2,14.90925014,-0.9610145138,0.2,0,0,9.541611,0,wall corridor speed profile revalidated
entry_speed,s_center_gap_3,0.8,1,0,3,complete,29.2,14.95190997,-0.952728499,0.2,0,0,11.752149,0,wall corridor speed profile revalidated
cruise_speed,s_center_gap_3,0.8,0.8,0,3,complete,30.3,14.96082781,-0.951558302,0.2,0,0,11.234538,0,wall corridor speed profile revalidated
entry_speed,s_center_gap_3,1,1,0,3,complete,29.6,15.03733413,-0.9359362878,0.2,0,0,12.206736,0,wall corridor speed profile revalidated
cruise_speed,s_center_gap_3,1,1,0,3,complete,29.6,15.03733413,-0.9359362878,0.2,0,0,11.738543,0,wall corridor speed profile revalidated
entry_speed,straight_center_3,0.2,1,0,3,hold,3.3,2.466552641,0.1767007475,0.2,0,0,9.779887,0,wall midline has no certified forward rollout
cruise_speed,straight_center_3,0.2,0.2,0,3,hold,7,2.388085345,0.1686633326,0.2,0,0,9.543826,0,wall midline has no certified forward rollout
entry_speed,straight_center_3,0.4,1,0,3,hold,2.6,2.488236856,0.1728889652,0.4,0,0,9.143644,0,wall midline has no certified forward rollout
