frame_idx,wall_time,infer_ms,mode,confidence,x_m,y_m,yaw_deg,curvature,n_points,points_x_min,points_x_max,points_y_min,points_y_max,points_raw,ref_point0_applied,ref_point0_x,raw_y_m,reject_reason,reject_streak,n_left_candidates,n_right_candidates,width_m,left_hit_ratio,left_rms_residual_m,left_c2,left_c1,left_c0,right_hit_ratio,right_rms_residual_m,right_c2,right_c1,right_c0,is_placeholder_homography
0,1789220015.115,2586.35,left_only,0.7014,2.6497,-0.2989,0.816,-0.10664,1,2.65,2.65,-0.299,-0.299,2.650:-0.299:0.0143:-0.1066,True,2.6497,-0.3004,,0,1,1,,1.0,0.05246,-0.053338,0.296915,1.318887,,,,,,False
1,1789220015.192,36.654,left_only,0.703,2.6609,-0.3014,1.09,-0.10972,1,2.661,2.661,-0.301,-0.301,2.661:-0.301:0.0190:-0.1097,True,2.6609,-0.3034,,0,1,1,,1.0,0.05187,-0.058516,0.344338,1.220211,,,,,,False
2,1789220015.261,34.284,left_only,0.7031,2.6689,-0.3033,1.298,-0.11169,1,2.669,2.669,-0.303,-0.303,2.669:-0.303:0.0227:-0.1117,True,2.6689,-0.3033,,0,1,1,,1.0,0.05185,-0.058207,0.343907,1.218834,,,,,,False
3,1789220015.326,33.037,left_only,0.7002,2.6761,-0.3044,1.459,-0.11375,1,2.676,2.676,-0.304,-0.304,2.676:-0.304:0.0255:-0.1137,True,2.6761,-0.3026,,0,1,1,,1.0,0.05288,-0.059365,0.351641,1.206733,,,,,,False
4,1789220015.397,37.89,left_only,0.7,2.6826,-0.3055,1.6,-0.11554,1,2.683,2.683,-0.305,-0.305,2.683:-0.305:0.0279:-0.1155,True,2.6826,-0.3031,,0,1,1,,1.0,0.05292,-0.059962,0.357084,1.195324,,,,,,False
5,1789220015.499,27.092,left_only,0.7001,2.6867,-0.3059,1.695,-0.11667,1,2.687,2.687,-0.306,-0.306,2.687:-0.306:0.0296:-0.1167,True,2.6867,-0.3022,,0,1,1,,1.0,0.05292,-0.05975,0.355667,1.198564,,,,,,False
6,1789220015.598,28.233,both,0.4009,2.5876,-0.2706,0.317,-0.07787,1,2.588,2.588,-0.271,-0.271,2.588:-0.271:0.0055:-0.0779,True,2.5876,-0.211,,0,1,1,3.67,1.0,0.05218,-0.059076,0.349125,1.210679,0.6667,0.15352,0.07208,-0.571749,-1.08189,False
7,1789220015.704,31.5,both,0.4007,2.5365,-0.2435,-0.885,-0.05141,1,2.537,2.537,-0.243,-0.243,2.537:-0.243:-0.0154:-0.0514,True,2.5365,-0.2123,,0,1,1,3.67,1.0,0.05263,-0.058382,0.343141,1.223496,0.6667,0.15324,0.068662,-0.542582,-1.142393,False
8,1789220015.801,28.124,left_only,0.7024,2.5738,-0.2647,0.085,-0.07106,1,2.574,2.574,-0.265,-0.265,2.574:-0.265:0.0015:-0.0711,True,2.5738,-0.3041,,0,1,1,,1.0,0.05211,-0.05844,0.346264,1.213089,,,,,,False
9,1789220015.897,27.127,both,0.4051,2.5263,-0.2371,-1.258,-0.04485,1,2.526,2.526,-0.237,-0.237,2.526:-0.237:-0.0219:-0.0448,True,2.5263,-0.2106,,0,1,1,3.68,1.0,0.05227,-0.05734,0.335516,1.235714,0.6667,0.15571,0.073551,-0.58643,-1.050049,False
10,1789220015.999,27.802,left_only,0.7026,2.5622,-0.259,-0.223,-0.06583,1,2.562,2.562,-0.259,-0.259,2.562:-0.259:-0.0039:-0.0658,True,2.5622,-0.3008,,0,1,1,,1.0,0.05201,-0.057358,0.335945,1.23754,,,,,,False
11,1789220016.105,31.144,left_only,0.7018,2.5943,-0.2739,0.435,-0.08082,1,2.594,2.594,-0.274,-0.274,2.594:-0.274:0.0076:-0.0808,True,2.5943,-0.3019,,0,1,1,,1.0,0.05231,-0.057911,0.339802,1.229929,,,,,,False
12,1789220016.2,27.11,left_only,0.6898,2.5993,-0.2767,0.162,-0.08616,1,2.599,2.599,-0.277,-0.277,2.599:-0.277:0.0028:-0.0862,True,2.5993,-0.2943,,0,1,1,,1.0,0.05654,-0.049297,0.248948,1.432575,,,,,,False
13,1789220016.304,30.556,left_only,0.7043,2.6167,-0.2848,0.458,-0.09314,1,2.617,2.617,-0.285,-0.285,2.617:-0.285:0.0080:-0.0931,True,2.6167,-0.3028,,0,1,1,,1.0,0.05142,-0.054727,0.309939,1.28995,,,,,,False
14,1789220016.397,27.555,both,0.4032,2.5473,-0.2514,-0.889,-0.0604,1,2.547,2.547,-0.251,-0.251,2.547:-0.251:-0.0155:-0.0604,True,2.5473,-0.2088,,0,1,1,3.68,1.0,0.05148,-0.058514,0.342393,1.22847,0.6667,0.15834,0.07445,-0.594444,-1.033324,False
15,1789220016.5,30.187,left_only,0.6911,2.532,-0.2459,-2.291,-0.05914,1,2.532,2.532,-0.246,-0.246,2.532:-0.246:-0.0400:-0.0591,True,2.532,-0.2861,,0,1,1,,1.0,0.05607,-0.028314,0.04408,1.866533,,,,,,False
16,1789220016.6,27.837,left_only,0.7019,2.5672,-0.2654,-1.039,-0.07609,1,2.567,2.567,-0.265,-0.265,2.567:-0.265:-0.0181:-0.0761,True,2.5672,-0.3021,,0,1,1,,1.0,0.05226,-0.057716,0.334079,1.245094,,,,,,False
17,1789220016.699,27.146,left_only,0.7012,2.5988,-0.2794,-0.17,-0.08841,1,2.599,2.599,-0.279,-0.279,2.599:-0.279:-0.0030:-0.0884,True,2.5988,-0.3047,,0,1,1,,1.0,0.05252,-0.058535,0.342266,1.225276,,,,,,False
18,1789220016.799,27.023,left_only,0.6951,2.5697,-0.2681,-1.556,-0.08228,1,2.57,2.57,-0.268,-0.268,2.570:-0.268:-0.0272:-0.0823,True,2.5697,-0.2868,,0,1,1,,1.0,0.05465,-0.034143,0.085873,1.792894,,,,,,False
19,1789220016.9,28.937,left_only,0.7019,2.6008,-0.2808,-0.524,-0.09273,1,2.601,2.601,-0.281,-0.281,2.601:-0.281:-0.0091:-0.0927,True,2.6008,-0.3023,,0,1,1,,1.0,0.05227,-0.058472,0.343049,1.224801,,,,,,False
20,1789220017.004,32.478,left_only,0.7015,2.6136,-0.2864,-0.166,-0.09667,1,2.614,2.614,-0.286,-0.286,2.614:-0.286:-0.0029:-0.0967,True,2.6136,-0.3014,,0,1,1,,1.0,0.05242,-0.052909,0.290978,1.331823,,,,,,False
21,1789220017.104,32.603,left_only,0.7044,2.63,-0.292,0.294,-0.10137,1,2.63,2.63,-0.292,-0.292,2.630:-0.292:0.0051:-0.1014,True,2.63,-0.3024,,0,1,1,,1.0,0.05139,-0.056183,0.323059,1.26407,,,,,,False
22,1789220017.2,28.074,left_only,0.7007,2.6391,-0.2952,0.539,-0.10387,1,2.639,2.639,-0.295,-0.295,2.639:-0.295:0.0094:-0.1039,True,2.6391,-0.302,,0,1,1,,1.0,0.0527,-0.054871,0.311173,1.288329,,,,,,False
23,1789220017.305,33.706,left_only,0.7013,2.649,-0.2972,0.772,-0.10689,1,2.649,2.649,-0.297,-0.297,2.649:-0.297:0.0135:-0.1069,True,2.649,-0.3003,,0,1,1,,1.0,0.05247,-0.057005,0.327399,1.260579,,,,,,False
24,1789220017.399,28.721,left_only,0.6988,2.6573,-0.2989,0.959,-0.1094,1,2.657,2.657,-0.299,-0.299,2.657:-0.299:0.0167:-0.1094,True,2.6573,-0.3009,,0,1,1,,1.0,0.05335,-0.05767,0.332926,1.24936,,,,,,False
25,1789220017.498,27.227,left_only,0.701,2.6699,-0.3016,1.242,-0.11301,1,2.67,2.67,-0.302,-0.302,2.670:-0.302:0.0217:-0.1130,True,2.6699,-0.3028,,0,1,1,,1.0,0.0526,-0.060801,0.361115,1.191036,,,,,,False
