# window_end_epoch_us,period_min,period_mean,period_max,period_p99,late_max
1789220011401631,5776.7,10000.1,14219.1,10830.8,4278.82
1789220021401584,3654.68,10000,16369.7,10155.4,6432.86
1789220031401634,7733.93,10000,12283.9,10483.2,2347.64
1789220041401665,47.323,10000,24431.4,10560.2,14494.7
1789220051401559,80.857,9999.99,24918.2,10338.5,14980.1
1789220061401587,115.433,10000,24887.6,10552.5,14953.9
1789220071401574,83.904,10000,22225.4,10461.3,12285.1
1789220081401644,8594.06,10000,11403.8,10309.4,1465.01
1789220091401581,125.863,10000,26227,10199.4,16420.6
1789220101401619,7823.69,10000,12169.2,10412.6,2235.86
1789220111401646,3759.66,10000,16245.6,10077.4,6303.6
1789220121401628,3856.08,10000,16148.2,10195.3,6205.05
1789220131401610,3853.94,10000,16146.1,10216.1,6206.24
1789220141401572,3663.3,10000,16286.6,10256.9,6394.67
1789220151401600,3655.57,10000,16352.2,10237.5,6409.35
1789220161401596,3811.38,10000,16184.2,10223.5,6247.63
1789220171401593,3854.66,10000,16151.7,10156.4,6208.44
1789220181401585,9038.37,10000,10965.1,10152.2,1021.32
1789220191401636,3271.58,9999.98,16721.2,10143.5,6784.48
1789220201401630,3179.66,10000,16818.9,10175.8,6879.12
1789220211401585,147.99,10000,26917.1,10053.7,16979.1
1789220221401571,8790.67,9999.99,11212.1,10091,1270.21
1789220231401589,7904.53,10000,12089.4,10289.1,2163.28
1789220241401669,9322.23,10000,10680.9,10146.3,736.654
1789220251401647,9088.18,10000,10920.9,10284.8,977.158
1789220261401594,137.641,10000,21649.1,10433,11706.2
1789220271401585,9056.61,10000,10942.3,10131,1000.32
1789220281401592,62.78,10000,21780.8,10114.2,11836.9
1789220291401613,3383.21,10000,16592.8,10163.5,6673.11
1789220301401579,2588.95,9999.99,17355.9,10247.8,7465.01
1789220311401696,9765.46,10000,10236.9,10069.6,295.546
1789220321401604,9034.75,9999.98,10966,10173.4,1022.38
1789220331401663,29.946,10000,299060,10633.1,289115
1789220341401594,7047.41,10000,12951.8,10545.5,3012.59
1789220351401580,75.21,9999.99,20763.3,10439.8,10819.4
1789220361401589,56.371,10000,24179.5,10352.4,14235.4
1789220371401627,78.458,10000,24446.3,10163.3,14502.7
1789220381401592,75.207,10000,25301.6,10289,15360
1789220391401580,59.416,10000,25229.9,10297.9,15443.2
1789220401401562,64.444,9999.98,25616.2,10203.6,15693.4
1789220411401555,120.078,10000,25547,10159,15608.7
1789220421401622,3431.78,10000,16587.3,10363.1,6641.69
1789220431401639,3474.19,10000,16536.2,10316.8,6594.15
1789220441401619,6034.66,10000,13966.3,10364.1,4032.94
1789220451401629,8884.53,10000,11115,10286.4,1175.84
1789220461401590,8163.22,10000,11812.8,10496.7,1897.3
1789220471401629,3709.95,9999.98,16288.6,10533.6,6353.51
1789220481401644,3620.9,10000.1,16378.9,10250.7,6434.68
1789220491401631,1394.84,9999.95,18597.1,10173.2,8660.58
1789220501401649,79.777,10000,26929,10132.1,16985.2
1789220511401623,2236.98,10000,17755.4,10076.1,7817.98
1789220521401678,1835.83,10000,18136.4,10351.9,8246.29
1789220531401652,9101.01,10000,10900.1,10150.1,955.53
1789220541401605,9734.42,9999.99,10258.9,10083.9,328.715
1789220551401655,8916.88,10000,11080.6,10151.7,1141.07
1789220561401573,9586.46,9999.98,10458.1,10140,519.026
1789220571401711,9432.15,10000,10456.8,10158.8,626.268
1789220581401578,8925.4,10000,11070.4,10200.9,1132.26
1789220591401627,9051.83,9999.98,10962.7,10157.4,1025.99
1789220601401589,8656.98,10000,11350.7,10245,1410.19
1789220611401599,9316.99,9999.97,10669.3,10061.6,738.061
1789220621401580,48.223,10000,23280.3,10150,13337.1
1789220631401588,155.774,10000,24060.1,10746.4,14118
1789220641401585,62.611,9999.98,24355.7,10200.4,14415.2
1789220651401624,8556.07,10000,11617.3,10405.4,1682.06
1789220661401575,8196.15,10000,11793.8,10162.5,1861.06
1789220671401596,48,10000,19946.9,10258.7,10004.9
1789220681401588,6886.52,10000,13121.8,10243.4,3181.66
1789220691401577,8391.62,10000,11606.9,10211.9,1664.8
1789220701401588,3935.52,10000,16006.3,10331.8,6121.16
1789220711401551,3484.1,10000,16517.9,10060,6578.16
1789220721401570,9286.12,10000,10721.9,10155.1,780.749
1789220731401568,8865.23,10000,11139.8,10192.4,1194.39
1789220741401619,48.572,10000,21161.8,10180,11256.7
1789220751401568,9641.97,10000,10482.7,10115.9,538.503
1789220761401586,56.542,10000,21315.3,10171.8,11377.5
1789220771401553,3721.96,10000,16452,10134.1,6511.28
1789220781401569,9504.5,10000,10416.2,10136.4,555.177
1789220791401613,3269.78,10000,16726,10160.4,6785.81
1789220801401571,192.802,9999.98,20534.1,10150.9,10593.2
1789220811401592,36.249,10000,20600.1,10130.5,10669.6
1789220821401563,44.013,10000,20157.7,10125,10216.1
1789220831401597,37.223,10000,24498.3,10095,14563.4
1789220841401718,9492.43,10000,10476.9,10068.4,563.404
1789220851401576,3048.02,10000,16967.5,10123,7034.79
1789220861401604,47.757,10000,20516.8,10109.5,10576.1
1789220871401600,73.338,10000,24047.8,10077.3,14109.9
1789220881401624,9086.68,10000,10828.7,10066.1,973.087
1789220891401596,9833.01,10000,10169.7,10048,231.397
1789220901401628,9763.83,10000,10258.3,10037,318.745
1789220911401652,9054.36,10000,10946,10112.1,1012.05
1789220921401581,3346.89,10000,16663.6,10228.2,6723.49
1789220931401718,424.307,10000,20063.2,10171.8,10121.6
1789220941401594,1746.51,10000,18247.6,10180,8307.79
1789220951401590,8551.01,10000,11449.6,10377.3,1510.36
1789220961401580,8909.15,10000,11091.1,10215.2,1151.36
1789220971401635,9282,10000,10686.9,10131.9,778.802
1789220981401559,9383.7,10000,10614.1,10162.4,676.037
1789220991401613,8811.09,10000,10883.2,10174.1,1248.76
1789221001401564,349.893,10000,19644.8,10172.1,9704.7
1789221011401762,3391.84,10000,16606.2,10242.8,6668.34
1789221021401563,9397.92,10000,10602.6,10131,661.814
1789221031401592,8862.4,10000,11140.9,10136.9,1197.35
1789221041401561,3534.49,9999.99,16465.7,10134.5,6523.54
1789221051401575,3465.03,10000,16535.1,10165.9,6594.64
1789221061401610,8925.44,10000,11079,10153,1135.32
1789221071401612,3234.8,10000,16750.2,10353.8,6822.67
1789221081401670,3366.72,9999.95,16635.5,10115.7,6693.68
1789221091401631,3373.2,10000,16626.3,10449,6689.64
1789221101401603,765.424,10000,26209.8,10321.4,16270.3
1789221111401605,173.234,9999.99,26548.8,10178.1,16607.6
1789221121401680,3544.52,10000,16455.3,10130.5,6514.93
1789221131401605,104.281,10000,26275.4,10514.3,16340.4
1789221141401599,69.06,10000,26133.9,10171.8,16193.9
1789221151401567,8833.26,10000,11163.4,10345.6,1237.36
1789221161401619,8796.22,10000,11206.7,10342.1,1270.21
1789221171401640,8714.54,9999.97,11286.6,10197.3,1348.24
1789221181401590,8644.43,10000,11363.2,10334.8,1422.45
1789221191401566,497.973,10000,19495.9,10460,9562.34
1789221201401600,8392.35,10000,11913.1,10512.1,1975.18
1789221211401570,3786.87,10000,16199.4,10359.9,6272.19
1789221221401566,8666.25,10000,11336.6,10595.8,1394
1789221231401564,8738.95,10000,11286.5,10249.6,1342.9
