tick,top,navigation,avoidance,signal,safety,mission,mission_type,reference_source,speed_owner,v_ref,ref_valid,ref_fresh,ref_age_s,stop_reasons
0,0,0,0,0,3,0,0,0,4,0,0,0,-1,526
59,0,1,0,0,3,0,0,1,4,0,1,1,0.103067,8
1545,0,1,0,1,3,0,0,1,4,0,1,1,0.0856078,8
1601,0,0,0,1,3,0,0,0,4,0,1,1,0.288688,8
9856,0,0,0,0,3,0,0,0,4,0,1,1,0.265461,8
11506,0,0,0,1,3,0,0,0,4,0,1,1,0.270746,8
19845,0,0,0,0,3,0,0,0,4,0,1,1,0.287757,8
21506,0,0,0,1,3,0,0,0,4,0,1,1,0.303149,8
29815,0,0,0,0,3,0,0,0,4,0,1,1,0.220318,8
31495,0,0,0,1,3,0,0,0,4,0,1,1,0.22582,8
32642,1,1,0,1,0,0,0,1,0,0,1,1,0.0437902,0
39845,1,1,0,0,0,0,0,1,0,0,1,1,0.0749652,0
41496,1,1,0,1,0,0,0,1,0,0,1,1,0.0853443,0
49845,1,1,0,0,0,0,0,1,0,0,1,1,0.0748983,0
51505,1,1,0,1,0,0,0,1,0,0,1,1,0.177547,0
59835,1,1,0,0,0,0,0,1,0,0,1,1,0.104376,0
60731,1,0,0,0,0,0,0,0,0,1,1,1,0.189342,0
61514,1,0,0,1,0,0,0,0,0,1,1,1,0.222336,0
61680,1,1,0,1,0,0,0,1,0,0.985,1,1,0.0410429,0
61900,1,0,0,1,0,0,0,0,0,1,1,1,0.283935,0
61960,1,1,0,1,0,0,0,1,0,0.985,1,1,0.102886,0
62230,1,0,0,1,0,0,0,0,0,1,1,1,0.285066,0
63038,1,1,0,1,0,0,0,1,0,0.985,1,1,0.13659,0
64988,1,0,0,1,0,0,0,0,0,1,1,1,0.275446,0
69177,1,1,0,1,0,0,0,1,0,0.985,1,1,0.148857,0
69796,1,1,0,0,0,0,0,1,0,0,1,1,0.0948316,0
70236,1,0,0,0,0,0,0,0,0,1,1,1,0.275357,0
70776,1,1,0,0,0,0,0,1,0,0.985,1,1,0.144286,0
71116,1,0,0,0,0,0,0,0,0,1,1,1,0.278645,0
71496,1,0,0,1,0,0,0,0,0,1,1,1,0.279994,0
73106,1,1,0,1,0,0,0,1,0,0.985,1,1,0.191856,0
73895,1,0,0,1,0,0,0,0,0,1,1,1,0.178912,0
74029,1,0,0,1,3,0,0,0,4,0,1,1,0.219604,512
75109,1,1,0,1,3,0,0,1,4,0,1,1,0.0955179,512
75110,1,1,0,1,0,0,0,1,0,1,1,1,0.105514,0
75158,1,0,0,1,0,0,0,0,0,1,1,1,0.213696,0
75839,1,2,0,1,0,0,0,1,0,1,1,1,0.017683,0
76748,1,2,0,2,0,0,0,1,2,1,1,1,0.112924,0
77013,1,2,0,3,0,0,0,1,2,0,1,1,0.133971,0
79844,1,2,0,0,0,0,0,1,0,1,1,1,0.0685709,0
81119,1,0,0,0,0,0,0,0,0,1,1,1,0.245595,0
81829,1,0,0,0,0,2,1,0,0,1,1,1,0.248205,0
81959,1,0,0,0,0,0,0,0,0,1,1,1,0.248867,0
82609,1,0,0,0,3,0,0,0,4,0,1,1,0.251115,512
83109,1,1,0,0,3,0,0,1,4,0,1,1,0.0922921,512
83110,1,1,0,0,0,0,0,1,0,1,1,1,0.102294,0
83522,1,0,0,0,0,0,0,0,0,1,1,1,0.284378,0
83689,1,2,0,0,0,0,0,1,0,1,1,1,0.0245468,0
84439,1,0,0,0,0,0,0,0,0,1,1,1,0.257879,0
87329,1,0,0,0,0,2,2,0,0,1,1,1,0.268324,0
87359,1,2,0,0,0,2,2,1,0,1,1,1,0.101314,0
87459,1,2,0,0,0,0,0,1,0,1,1,1,0.0971746,0
88339,1,2,0,0,3,0,0,1,4,0,1,1,0.0213845,512
88489,1,1,0,0,3,0,0,1,4,0,1,1,0.0234614,512
88490,1,1,0,0,0,0,0,1,0,1,1,1,0.0334653,0
88539,1,2,0,0,0,0,0,1,0,1,1,1,0.0228913,0
90815,1,2,0,1,0,0,0,1,0,1,1,1,0.162801,0
92069,1,1,0,1,0,0,0,1,0,1,1,1,0.0750399,0
92088,1,0,0,1,0,0,0,0,0,1,1,1,0.275594,0
94279,1,2,0,1,0,0,0,1,0,1,1,1,0.0456082,0
95419,1,1,0,1,0,0,0,1,0,1,1,1,0.0652318,0
95509,1,0,0,1,0,0,0,0,0,1,1,1,0.197816,0
97446,1,1,0,1,0,0,0,1,0,1,1,1,0.0974354,0
98087,1,0,0,1,0,0,0,0,0,1,1,1,0.187074,0
98119,1,2,0,1,0,0,0,1,0,1,1,1,0.068303,0
98979,1,2,0,1,3,0,0,1,4,0,1,1,0.0436487,512
99249,1,1,0,1,3,0,0,1,4,0,1,1,0.00528429,512
99250,1,1,0,1,0,0,0,1,0,1,1,1,0.0152957,0
99309,1,2,0,1,0,0,0,1,0,1,1,1,0.102492,0
99855,1,2,0,0,0,0,0,1,0,1,1,1,0.0658707,0
99936,1,2,0,1,0,0,0,1,0,1,1,1,0.120545,0
100309,1,1,0,1,0,0,0,1,0,1,1,1,0.102844,0
100396,1,0,0,1,0,0,0,0,0,1,1,1,0.285362,0
101134,1,1,0,1,0,0,0,1,0,1,1,1,0.102826,0
101979,1,1,0,1,3,0,0,1,4,0,1,1,0.0440022,512
102192,2,1,0,1,0,0,0,1,5,0,1,1,0.0558369,0
