stamp_s,counter,x,y,yaw,v,str,str_ref
1789220001.389,0,0.0000,0.0000,0.0000,-0.0001,0.0057,0.0000
1789220001.399,0,0.0000,0.0000,0.0000,-0.0000,0.0053,0.0000
1789220001.408,0,0.0000,0.0000,0.0000,0.0000,0.0062,0.0000
1789220001.418,0,0.0000,0.0000,0.0000,0.0001,0.0070,0.0000
1789220001.428,1,0.0000,0.0000,0.0000,0.0001,0.0078,0.0000
1789220001.438,2,0.0000,0.0000,0.0000,-0.0000,0.0071,0.0000
1789220001.448,3,0.0000,0.0000,0.0000,-0.0001,0.0049,0.0000
1789220001.458,4,0.0000,0.0000,0.0000,-0.0001,0.0043,0.0000
1789220001.468,5,0.0000,0.0000,0.0000,0.0001,0.0034,0.0000
1789220001.478,6,0.0000,0.0000,0.0000,0.0002,0.0038,0.0000
1789220001.488,7,0.0000,0.0000,0.0000,0.0002,0.0036,0.0000
1789220001.498,8,0.0000,0.0000,0.0000,0.0001,0.0043,0.0000
1789220001.508,9,0.0000,0.0000,0.0000,-0.0000,0.0052,0.0000
1789220001.518,10,0.0000,0.0000,0.0000,0.0000,0.0049,0.0000
1789220001.528,11,0.0000,0.0000,0.0000,0.0001,0.0051,0.0000
1789220001.538,12,0.0000,0.0000,0.0000,0.0002,0.0040,0.0000
1789220001.548,13,0.0000,0.0000,0.0000,0.0002,0.0042,0.0000
1789220001.558,14,0.0000,0.0000,0.0000,0.0002,0.0048,0.0000
1789220001.568,15,0.0000,0.0000,0.0000,0.0001,0.0059,0.0000
1789220001.578,16,0.0000,0.0000,0.0000,0.0001,0.0041,0.0000
1789220001.588,17,0.0000,0.0000,0.0000,0.0001,0.0036,0.0000
1789220001.598,18,0.0000,0.0000,0.0000,0.0001,0.0012,0.0000
1789220001.608,19,0.0000,0.0000,0.0000,0.0001,0.0033,0.0000
1789220001.618,20,0.0000,0.0000,0.0000,0.0000,0.0024,0.0000
1789220001.628,21,0.0000,0.0000,0.0000,0.0000,0.0032,0.0000
1789220001.638,21,0.0000,0.0000,0.0000,0.0000,0.0035,0.0000
1789220001.648,23,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000
1789220001.658,24,0.0000,0.0000,0.0000,-0.0001,0.0018,0.0000
1789220001.668,25,0.0000,0.0000,0.0000,-0.0001,0.0029,0.0000
1789220001.678,26,0.0000,0.0000,0.0000,0.0000,0.0054,0.0000
1789220001.688,27,0.0000,0.0000,0.0000,0.0001,0.0087,0.0000
1789220001.698,28,0.0000,0.0000,0.0000,0.0001,0.0097,0.0000
1789220001.708,29,0.0000,0.0000,0.0000,-0.0001,0.0089,0.0000
1789220001.718,30,0.0000,0.0000,0.0000,-0.0001,0.0078,0.0000
1789220001.728,31,0.0000,0.0000,0.0000,-0.0000,0.0077,0.0000
1789220001.738,32,0.0000,0.0000,0.0000,0.0001,0.0111,0.0000
1789220001.748,33,0.0000,0.0000,0.0000,0.0001,0.0088,0.0000
1789220001.758,34,0.0000,0.0000,0.0000,0.0000,0.0081,0.0000
1789220001.768,35,0.0000,0.0000,0.0000,-0.0001,0.0059,0.0000
1789220001.778,36,0.0000,0.0000,0.0000,-0.0002,0.0061,0.0000
1789220001.788,37,0.0000,0.0000,0.0000,-0.0002,0.0039,0.0000
1789220001.798,38,0.0000,0.0000,0.0000,-0.0000,0.0020,0.0000
1789220001.808,39,0.0000,0.0000,0.0000,0.0001,0.0019,0.0000
1789220001.818,40,0.0000,0.0000,0.0000,-0.0000,0.0002,0.0000
1789220001.828,41,0.0000,0.0000,0.0000,-0.0001,0.0017,0.0000
1789220001.838,42,0.0000,0.0000,0.0000,-0.0002,0.0011,0.0000
1789220001.848,43,0.0000,0.0000,0.0000,-0.0001,0.0030,0.0000
1789220001.858,44,0.0000,0.0000,0.0000,-0.0000,0.0008,0.0000
1789220001.868,45,0.0000,0.0000,0.0000,-0.0001,0.0004,0.0000
1789220001.878,46,0.0000,0.0000,0.0000,-0.0002,0.0013,0.0000
1789220001.888,47,0.0000,0.0000,0.0000,-0.0002,0.0032,0.0000
1789220001.898,48,0.0000,0.0000,0.0000,-0.0002,0.0043,0.0000
1789220001.908,49,0.0000,0.0000,0.0000,-0.0001,0.0030,0.0000
1789220001.918,50,0.0000,0.0000,0.0000,-0.0000,0.0020,0.0000
1789220001.928,51,0.0000,0.0000,0.0000,-0.0000,0.0028,0.0000
1789220001.938,52,0.0000,0.0000,0.0000,-0.0001,0.0029,0.0000
1789220001.948,53,0.0000,0.0000,0.0000,-0.0002,0.0019,0.0000
1789220001.958,54,0.0000,0.0000,0.0000,-0.0000,0.0016,0.0000
1789220001.968,55,0.0000,0.0000,0.0000,0.0001,0.0013,0.0000
1789220001.978,56,0.0000,0.0000,0.0000,0.0002,0.0024,0.0000
1789220001.988,57,0.0000,0.0000,0.0000,0.0001,0.0012,0.0000
1789220001.998,58,0.0000,0.0000,0.0000,-0.0001,0.0007,0.0000
1789220002.008,59,0.0000,0.0000,0.0000,-0.0001,0.0009,0.0000
1789220002.018,60,0.0000,0.0000,0.0000,-0.0000,0.0005,0.0000
1789220002.028,61,0.0000,0.0000,0.0000,0.0001,0.0007,0.0000
1789220002.038,62,0.0000,0.0000,0.0000,0.0001,0.0008,0.0000
1789220002.048,63,0.0000,0.0000,0.0000,0.0001,-0.0002,0.0000
