generation,time_ns,zone_id,zone_valid,raw_in,stable_in,enter_count,exit_count,x,y,position_valid,track_index,previous_track_index,position_step_m,heading_rad,heading_valid,boundary_endpoint_distance_m,calibration_state
1789220001898375182,1789220002001442464,0,1,1,1,0,0,1.5672853150464912,-0.5157826666300025,1,0,-1,0,-2.3558709301988117,0,0,1
1789220002012469178,1789220002101425628,0,1,1,1,0,0,1.5525274495943271,-0.5157826666300025,1,0,0,0.014757865452164065,-2.3558709301988117,0,0,1
1789220002140461708,1789220002201420808,0,1,1,1,0,0,1.5525274495943271,-0.5157826666300025,1,0,0,0,-2.3558709301988117,0,0,1
1789220002261277644,1789220002301421969,0,1,1,1,0,0,1.537769584142163,-0.5157826666300025,1,0,0,0.014757865452164065,-2.3558709301988117,0,0,1
1789220002387381660,1789220002401427164,0,1,1,1,0,0,1.537769584142163,-0.49722933334351183,1,0,0,0.01855333328649067,-2.3558709301988117,0,0,1
1789220002510360195,1789220002601403844,0,1,1,1,0,0,1.5230117186899987,-0.49722933334351183,1,0,0,0.014757865452164287,-2.3558709301988117,0,0,1
1789220002636532790,1789220002701414287,0,1,1,1,0,0,1.5230117186899987,-0.49722933334351183,1,0,0,0,-2.3558709301988117,0,0,1
1789220002762491831,1789220002801415578,0,1,1,1,0,0,1.5082538532378347,-0.49722933334351183,1,0,0,0.014757865452164065,-2.3558709301988117,0,0,1
1789220002889244368,1789220002901400949,0,1,1,1,0,0,1.2868858701970414,-0.96106266629675474,1,0,0,0.51395052745771441,-2.3558709301988117,0,0,1
1789220003013028515,1789220003101441040,0,1,1,1,0,0,1.0802757538667436,-1.239362666385091,1,0,0,0.34661019924287734,-2.3558709301988117,0,0,1
1789220003148390784,1789220003201427684,0,1,1,1,0,0,0.93269709934510214,-1.4248960000409738,1,0,0,0.23706977278405436,-2.3558709301988117,0,0,1
1789220003264383120,1789220003301406065,0,1,1,1,0,0,0.7851184435651295,-1.5547693330464085,1,0,0,0.1965872383135899,-2.3558709301988117,0,0,1
1789220003393067482,1789220003401479895,0,1,1,1,0,0,0.6818133853999806,-1.647536000269838,1,0,0,0.13884375963739715,-2.3558709301988117,0,0,1
1789220003519512871,1789220003604328733,0,1,1,1,0,0,0.74084484720863708,-1.6289826669833474,1,0,0,0.061878426444977347,-2.3558709301988117,0,0,1
1789220003645566393,1789220003701425657,0,1,1,1,0,0,0.75560271266080126,-1.6289826669833474,1,0,0,0.014757865452164176,-2.3558709301988117,0,0,1
1789220003772687229,1789220003801419756,0,1,1,1,0,0,0.75560271266080126,-1.6289826669833474,1,0,0,0,-2.3558709301988117,0,0,1
1789220003895080489,1789220003901425222,0,1,1,1,0,0,0.75560271266080126,-1.6289826669833474,1,0,0,0,-2.3558709301988117,0,0,1
1789220004017084147,1789220004101421802,0,1,1,1,0,0,0.74084484720863708,-1.6289826669833474,1,0,0,0.014757865452164176,-2.3558709301988117,0,0,1
1789220004152527696,1789220004201417593,0,1,1,1,0,0,0.74084484720863708,-1.6289826669833474,1,0,0,0,-2.3558709301988117,0,0,1
1789220004272801950,1789220004301414129,0,1,1,1,0,0,0.75560271266080126,-1.6104293329058805,1,0,0,0.023706977835529212,-2.3558709301988117,0,0,1
1789220004399077910,1789220004501421813,0,1,1,1,0,0,0.74084484720863708,-1.6104293329058805,1,0,0,0.014757865452164176,-2.3558709301988117,0,0,1
1789220004527058571,1789220004601423389,0,1,1,1,0,0,0.66705551994781642,-1.6660893335563287,1,0,0,0.092427812318654295,-2.3558709301988117,0,0,1
1789220004646836646,1789220004701421334,0,1,1,1,0,0,0.66705551994781642,-1.6660893335563287,1,0,0,0,-2.3558709301988117,0,0,1
1789220004773111452,1789220004801414179,0,1,1,1,0,0,0.66705551994781642,-1.6660893335563287,1,0,0,0,-2.3558709301988117,0,0,1
1789220004894267980,1789220004901421093,0,1,1,1,0,0,0.66705551994781642,-1.6660893335563287,1,0,0,0,-2.3558709301988117,0,0,1
1789220005024248522,1789220005101403386,0,1,1,1,0,0,0.66705551994781642,-1.6660893335563287,1,0,0,0,-2.3558709301988117,0,0,1
1789220005157245928,1789220005201411400,0,1,1,1,0,0,0.66705551994781642,-1.6660893335563287,1,0,0,0,-2.3558709301988117,0,0,1
1789220005273498853,1789220005301414859,0,1,1,1,0,0,0.66705551994781642,-1.6660893335563287,1,0,0,0,-2.3558709301988117,0,0,1
1789220005401487159,1789220005501410573,0,1,1,1,0,0,0.66705551994781642,-1.6660893335563287,1,0,0,0,-2.3558709301988117,0,0,1
1789220005527542812,1789220005601405556,0,1,1,1,0,0,0.66705551994781642,-1.6660893335563287,1,0,0,0,-2.3558709301988117,0,0,1
1789220005648989992,1789220005701409823,0,1,1,1,0,0,0.66705551994781642,-1.6846426668428194,1,0,0,0.01855333328649067,-2.3558709301988117,0,0,1
1789220005768554000,1789220005801401490,0,1,1,1,0,0,0.65229765449565225,-1.6846426668428194,1,0,0,0.014757865452164176,-2.3558709301988117,0,0,1
1789220005897667912,1789220006001399303,0,1,1,1,0,0,0.65229765449565225,-1.6846426668428194,1,0,0,0,-2.3558709301988117,0,0,1
1789220006025121621,1789220006101406204,0,1,1,1,0,0,0.65229765449565225,-1.7031960001293101,1,0,0,0.01855333328649067,-2.3558709301988117,0,0,1
1789220006156531510,1789220006201438654,0,1,1,1,0,0,0.65229765449565225,-1.7031960001293101,1,0,0,0,-2.3558709301988117,0,0,1
1789220006272530621,1789220006301415756,0,1,1,1,0,0,0.65229765449565225,-1.7031960001293101,1,0,0,0,-2.3558709301988117,0,0,1
1789220006402231805,1789220006501403523,0,1,1,1,0,0,0.65229765449565225,-1.7031960001293101,1,0,0,0,-2.3558709301988117,0,0,1
1789220006528531881,1789220006601416279,0,1,1,1,0,0,0.63753978904348818,-1.7217493334158007,1,0,0,0.023706977216502747,-2.3558709301988117,0,0,1
1789220006645206091,1789220006701414531,0,1,1,1,0,0,0.63753978904348818,-1.7217493334158007,1,0,0,0,-2.3558709301988117,0,0,1
1789220006776273693,1789220006801400878,0,1,1,1,0,0,0.63753978904348818,-1.7403026667022914,1,0,0,0.01855333328649067,-2.3558709301988117,0,0,1
1789220006899506962,1789220007001400731,0,1,1,1,0,0,0.622781923591324,-1.7403026667022914,1,0,0,0.014757865452164176,-2.3558709301988117,0,0,1
1789220007022929719,1789220007101431144,0,1,1,1,0,0,0.622781923591324,-1.7588559999887821,1,0,0,0.01855333328649067,-2.3558709301988117,0,0,1
1789220007155458059,1789220007201401650,0,1,1,1,0,0,0.622781923591324,-1.7588559999887821,1,0,0,0,-2.3558709301988117,0,0,1
1789220007273385528,1789220007301401829,0,1,1,1,0,0,0.622781923591324,-1.7588559999887821,1,0,0,0,-2.3558709301988117,0,0,1
1789220007402275743,1789220007501399906,0,1,1,1,0,0,0.60802405813915983,-1.7588559999887821,1,0,0,0.014757865452164176,-2.3558709301988117,0,0,1
1789220007525178613,1789220007601414949,0,1,1,1,0,0,0.622781923591324,-1.7588559999887821,1,0,0,0.014757865452164176,-2.3558709301988117,0,0,1
1789220007649149077,1789220007701410770,0,1,1,1,0,0,0.63753978904348818,-1.7403026667022914,1,0,0,0.023706977216502816,-2.3558709301988117,0,0,1
1789220007773050113,1789220007801412808,0,1,1,1,0,0,0.65229765449565225,-1.7403026667022914,1,0,0,0.014757865452164065,-2.3558709301988117,0,0,1
1789220007899249858,1789220008001419234,0,1,1,1,0,0,0.65229765449565225,-1.7217493334158007,1,0,0,0.01855333328649067,-2.3558709301988117,0,0,1
1789220008023448955,1789220008101411149,0,1,1,1,0,0,0.66705551994781642,-1.7217493334158007,1,0,0,0.014757865452164176,-2.3558709301988117,0,0,1
1789220008158508070,1789220008201405434,0,1,1,1,0,0,0.66705551994781642,-1.7217493334158007,1,0,0,0,-2.3558709301988117,0,0,1
1789220008273294878,1789220008301429325,0,1,1,1,0,0,0.6818133853999806,-1.7031960001293101,1,0,0,0.023706977216502816,-2.3558709301988117,0,0,1
1789220008398926791,1789220008501402830,0,1,1,1,0,0,0.6818133853999806,-1.7031960001293101,1,0,0,0,-2.3558709301988117,0,0,1
1789220008525640933,1789220008601407191,0,1,1,1,0,0,0.71132911630430884,-1.6660893335563287,1,0,0,0.047413954433005563,-2.3558709301988117,0,0,1
1789220008647332308,1789220008701398942,0,1,1,1,0,0,0.74084484720863708,-1.647536000269838,1,0,0,0.034862652607859888,-2.3558709301988117,0,0,1
1789220008773431253,1789220008801403124,0,1,1,1,0,0,0.77036057811296532,-1.6104293329058805,1,0,0,0.047413955052031956,-2.3558709301988117,0,0,1
1789220008900353250,1789220009001428584,0,1,1,1,0,0,0.7851184435651295,-1.5918759996193899,1,0,0,0.023706977216502816,-2.3558709301988117,0,0,1
1789220009023278678,1789220009101417824,0,1,1,1,0,0,0.79987631027562489,-1.5733226663328992,1,0,0,0.023706977999828464,-2.3558709301988117,0,0,1
1789220009154634297,1789220009201406068,0,1,1,1,0,0,0.82939204117995313,-1.5547693330464085,1,0,0,0.034862652607859888,-2.3558709301988117,0,0,1
1789220009272937141,1789220009301406648,0,1,1,1,0,0,0.82939204117995313,-1.5362159997599178,1,0,0,0.01855333328649067,-2.3558709301988117,0,0,1
1789220009394453429,1789220009401409670,0,1,1,1,0,0,0.85890777208428148,-1.5176626664734272,1,0,0,0.034862652607859985,-2.3558709301988117,0,0,1
1789220009525278671,1789220009601417206,0,1,1,1,0,0,0.84414990663211731,-1.4991093331869365,1,0,0,0.023706977216502816,-2.3558709301988117,0,0,1
1789220009648734757,1789220009701397393,0,1,1,1,0,0,0.82939204117995313,-1.4991093331869365,1,0,0,0.014757865452164176,-2.3558709301988117,0,0,1
1789220009772926994,1789220009801418497,0,1,1,1,0,0,0.81463417572778907,-1.4805559999004458,1,0,0,0.023706977216502747,-2.3558709301988117,0,0,1
1789220009897475132,1789220010001419878,0,1,1,1,0,0,0.79987631027562489,-1.4805559999004458,1,0,0,0.014757865452164176,-2.3558709301988117,0,0,1
1789220010021310999,1789220010101420947,0,1,1,1,0,0,0.7851184435651295,-1.4620026666139552,1,0,0,0.023706977999828464,-2.3558709301988117,0,0,1
1789220010153115227,1789220010201421214,0,1,1,1,0,0,0.7851184435651295,-1.4620026666139552,1,0,0,0,-2.3558709301988117,0,0,1
1789220010265680787,1789220010301404114,0,1,1,1,0,0,0.77036057811296532,-1.4434493333274645,1,0,0,0.023706977216502816,-2.3558709301988117,0,0,1
1789220010399549293,1789220010501406483,0,1,1,1,0,0,0.75560271266080126,-1.4434493333274645,1,0,0,0.014757865452164065,-2.3558709301988117,0,0,1
1789220010525348909,1789220010601403230,0,1,1,1,0,0,0.74084484720863708,-1.4248960000409738,1,0,0,0.023706977216502816,-2.3558709301988117,0,0,1
1789220010647575428,1789220010701409504,0,1,1,1,0,0,0.7260869817564729,-1.4248960000409738,1,0,0,0.014757865452164176,-2.3558709301988117,0,0,1
1789220010772111277,1789220010801408855,0,1,1,1,0,0,0.71132911630430884,-1.4248960000409738,1,0,0,0.014757865452164065,-2.3558709301988117,0,0,1
1789220010897334522,1789220011001422768,0,1,1,1,0,0,0.69657125085214466,-1.4248960000409738,1,0,0,0.014757865452164176,-2.3558709301988117,0,0,1
1789220011022968878,1789220011101400350,0,1,1,1,0,0,0.69657125085214466,-1.4063426667544832,1,0,0,0.01855333328649067,-2.3558709301988117,0,0,1
1789220011149165775,1789220011201402996,0,1,1,1,0,0,0.6818133853999806,-1.4063426667544832,1,0,0,0.014757865452164065,-2.3558709301988117,0,0,1
1789220011272253716,1789220011301409032,0,1,1,1,0,0,0.66705551994781642,-1.4063426667544832,1,0,0,0.014757865452164176,-2.3558709301988117,0,0,1
1789220011398819518,1789220011501422472,0,1,1,1,0,0,0.66705551994781642,-1.4063426667544832,1,0,0,0,-2.3558709301988117,0,0,1
1789220011524236385,1789220011601418453,0,1,1,1,0,0,0.65229765449565225,-1.4063426667544832,1,0,0,0.014757865452164176,-2.3558709301988117,0,0,1
1789220011646675468,1789220011701402415,0,1,1,1,0,0,0.65229765449565225,-1.4063426667544832,1,0,0,0,-2.3558709301988117,0,0,1
1789220011773765121,1789220011801408877,0,1,1,1,0,0,0.63753978904348818,-1.4248960000409738,1,0,0,0.023706977216502747,-2.3558709301988117,0,0,1
1789220011898432398,1789220012001402882,0,1,1,1,0,0,0.63753978904348818,-1.4248960000409738,1,0,0,0,-2.3558709301988117,0,0,1
1789220012019658228,1789220012101399705,0,1,1,1,0,0,0.63753978904348818,-1.4248960000409738,1,0,0,0,-2.3558709301988117,0,0,1
1789220012153377864,1789220012201406145,0,1,1,1,0,0,0.622781923591324,-1.4248960000409738,1,0,0,0.014757865452164176,-2.3558709301988117,0,0,1
1789220012272097194,1789220012301409922,0,1,1,1,0,0,0.622781923591324,-1.4248960000409738,1,0,0,0,-2.3558709301988117,0,0,1
1789220012398489451,1789220012501407601,0,1,1,1,0,0,0.622781923591324,-1.4248960000409738,1,0,0,0,-2.3558709301988117,0,0,1
1789220012521310363,1789220012601434175,0,1,1,1,0,0,0.60802405813915983,-1.4434493333274645,1,0,0,0.023706977216502816,-2.3558709301988117,0,0,1
1789220012648507320,1789220012701401481,0,1,1,1,0,0,0.60802405813915983,-1.4434493333274645,1,0,0,0,-2.3558709301988117,0,0,1
1789220012774353912,1789220012801410692,0,1,1,1,0,0,0.60802405813915983,-1.4620026666139552,1,0,0,0.01855333328649067,-2.3558709301988117,0,0,1
1789220012895381349,1789220012901404083,0,1,1,1,0,0,0.59326619268699576,-1.4620026666139552,1,0,0,0.014757865452164065,-2.3558709301988117,0,0,1
1789220013023455479,1789220013101405218,0,1,1,1,0,0,0.59326619268699576,-1.4620026666139552,1,0,0,0,-2.3558709301988117,0,0,1
1789220013155741576,1789220013201412878,0,1,1,1,0,0,0.59326619268699576,-1.4805559999004458,1,0,0,0.01855333328649067,-2.3558709301988117,0,0,1
1789220013275198160,1789220013301403107,0,1,1,1,0,0,0.59326619268699576,-1.4805559999004458,1,0,0,0,-2.3558709301988117,0,0,1
