path_id,idx,lat,lon,east_m,north_m,yaw_rad,yaw_deg,s_m,segment_type,behavior,zone_id,inside_zone,state
1,0,37.3041743,127.9075328,0,0,-2.358178615,-135.113682,0,STRAIGHT,CAMERA_DRIVE_TO_MERGE,0,0,0
1,1,37.30417273,127.9075308,-0.174808,-0.174115,-2.358178615,-135.113682,0.246726,STRAIGHT,CAMERA_DRIVE_TO_MERGE,0,0,0
1,2,37.30417116,127.9075289,-0.349615,-0.348231,-2.358178615,-135.113682,0.493453,STRAIGHT,CAMERA_DRIVE_TO_MERGE,0,0,0
1,3,37.30416959,127.9075269,-0.524423,-0.522346,-2.358178615,-135.113682,0.740179,STRAIGHT,CAMERA_DRIVE_TO_MERGE,0,0,0
1,4,37.30416802,127.9075249,-0.699231,-0.696462,-2.358178615,-135.113682,0.986905,STRAIGHT,CAMERA_DRIVE_TO_MERGE,0,0,0
1,5,37.30416646,127.9075229,-0.874038,-0.870577,-2.358178615,-135.113682,1.233632,STRAIGHT,CAMERA_DRIVE_TO_MERGE,0,0,0
1,6,37.30416489,127.907521,-1.048846,-1.044692,-2.358178615,-135.113682,1.480358,STRAIGHT,CAMERA_DRIVE_TO_MERGE,0,0,0
1,7,37.30416332,127.907519,-1.223654,-1.218808,-2.358178615,-135.113682,1.727085,STRAIGHT,CAMERA_DRIVE_TO_MERGE,0,0,0
1,8,37.30416175,127.907517,-1.398462,-1.392923,-2.358178615,-135.113682,1.973811,STRAIGHT,CAMERA_DRIVE_TO_MERGE,0,0,0
1,9,37.30416018,127.9075151,-1.573269,-1.567038,-2.358178615,-135.113682,2.220537,STRAIGHT,CAMERA_DRIVE_TO_MERGE,0,0,0
1,10,37.30415861,127.9075131,-1.748077,-1.741154,-2.358178615,-135.113682,2.467264,STRAIGHT,CAMERA_DRIVE_TO_MERGE,0,0,0
1,11,37.30415704,127.9075111,-1.922885,-1.915269,-2.358178615,-135.113682,2.71399,STRAIGHT,CAMERA_DRIVE_TO_MERGE,0,0,0
1,12,37.30415547,127.9075091,-2.097692,-2.089385,-2.358178615,-135.113682,2.960716,STRAIGHT,CAMERA_DRIVE_TO_MERGE,0,0,0
1,13,37.30415391,127.9075072,-2.2725,-2.2635,-2.358178615,-135.113682,3.207443,STRAIGHT,CAMERA_DRIVE_TO_MERGE,0,0,0
