zone_id,corner_order,east_m,north_m,lat,lon
1,1,-70,-80,37.30345347,127.90674323
1,2,-57.8346,-80,37.30345347,127.90688045
1,3,-57.8346,-66.5645,37.30357453,127.90688045
1,4,-70,-66.5645,37.30357453,127.90674323
2,1,-43.1667,-50.1861,37.30372211,127.90704590
2,2,-38.1339,-50.1861,37.30372211,127.90710267
2,3,-38.1339,-40.1591,37.30381245,127.90710267
2,4,-43.1667,-40.1591,37.30381245,127.90704590
3,1,-20,-21,37.30398508,127.90730721
3,2,-5.16,-21,37.30398508,127.90747460
3,3,-5.16,-9.58929,37.30408790,127.90747460
3,4,-20,-9.58929,37.30408790,127.90730721
