idx,utc,lat,lon,height_m,east_m,north_m,quality
0,080950.25,37.3041605,127.9075462,182.600,0.000,0.000,4
1,081005.00,37.3041587,127.9075435,182.600,-0.236,-0.204,4
2,081006.37,37.3041565,127.9075408,182.600,-0.472,-0.445,4
3,081007.75,37.3041547,127.9075383,182.600,-0.694,-0.649,4
4,081009.00,37.3041527,127.9075358,182.600,-0.915,-0.872,4
5,081010.12,37.3041508,127.9075333,182.600,-1.136,-1.076,4
6,081011.37,37.3041488,127.9075308,182.600,-1.358,-1.299,4
7,081012.62,37.3041468,127.9075282,182.500,-1.594,-1.521,4
8,081013.75,37.3041450,127.9075255,182.500,-1.830,-1.725,4
9,081014.87,37.3041430,127.9075230,182.600,-2.051,-1.948,4
10,081016.00,37.3041412,127.9075203,182.600,-2.287,-2.152,4
11,081017.12,37.3041393,127.9075178,182.600,-2.509,-2.356,4
12,081018.25,37.3041373,127.9075152,182.600,-2.745,-2.579,4
13,081019.37,37.3041355,127.9075127,182.600,-2.966,-2.783,4
14,081020.50,37.3041333,127.9075102,182.600,-3.188,-3.024,4
15,081021.62,37.3041315,127.9075075,182.600,-3.424,-3.228,4
16,081022.75,37.3041297,127.9075050,182.600,-3.645,-3.432,4
17,081023.87,37.3041278,127.9075025,182.600,-3.867,-3.636,4
18,081025.12,37.3041258,127.9074997,182.600,-4.117,-3.859,4
19,081026.25,37.3041238,127.9074972,182.600,-4.339,-4.082,4
20,081027.37,37.3041220,127.9074947,182.600,-4.560,-4.286,4
21,081028.50,37.3041200,127.9074922,182.600,-4.782,-4.508,4
22,081029.62,37.3041180,127.9074898,182.600,-4.988,-4.731,4
23,081030.87,37.3041160,127.9074870,182.600,-5.239,-4.954,4
24,081032.00,37.3041140,127.9074847,182.600,-5.446,-5.176,4
25,081033.12,37.3041120,127.9074822,182.600,-5.667,-5.399,4
26,081034.25,37.3041100,127.9074798,182.600,-5.874,-5.622,4
