"idx","lat","lon","east_m","north_m","yaw_rad","yaw_deg","s_m","segment_type","zone_id","inside_zone","state","parking_mode","drive_mode"
"0","37.30414727","127.90756213","2.600000","-3.000000","-2.601173153","-149.036243","0.000000","STRAIGHT","0","0","0","none","waypoint_only"
"1","37.30414619","127.90755987","2.400000","-3.120000","-2.601173153","-149.036243","0.233238","STRAIGHT","0","0","0","none","waypoint_only"
"2","37.30414511","127.90755762","2.200000","-3.240000","-2.601173153","-149.036243","0.466476","STRAIGHT","0","0","0","none","waypoint_only"
"3","37.30414403","127.90755536","2.000000","-3.360000","-2.601173153","-149.036243","0.699714","STRAIGHT","0","0","0","none","waypoint_only"
"4","37.30414294","127.90755310","1.800000","-3.480000","-2.601173153","-149.036243","0.932952","STRAIGHT","0","0","0","none","waypoint_only"
"5","37.30414186","127.90755085","1.600000","-3.600000","-2.674021641","-153.210154","1.166190","STRAIGHT","0","0","0","none","waypoint_only"
"6","37.30414099","127.90754826","1.370207","-3.697008","-2.818224434","-161.472366","1.415620","CUBIC_HERMITE","0","0","0","none","waypoint_only"
"7","37.30414044","127.90754552","1.127914","-3.758211","-2.930098931","-167.882302","1.665523","CUBIC_HERMITE","0","0","0","none","waypoint_only"
"8","37.30414004","127.90754275","0.881787","-3.801874","-2.987091459","-171.147734","1.915494","CUBIC_HERMITE","0","0","0","none","waypoint_only"
"9","37.30413974","127.90753995","0.634020","-3.835131","-3.021910826","-173.142736","2.165483","CUBIC_HERMITE","0","0","0","none","waypoint_only"
"10","37.30413951","127.90753715","0.385427","-3.861565","-3.045130664","-174.473135","2.415477","CUBIC_HERMITE","0","0","0","none","waypoint_only"
"11","37.30413931","127.90753434","0.136375","-3.883284","-3.061306520","-175.399943","2.665475","CUBIC_HERMITE","0","0","0","none","waypoint_only"
"12","37.30413914","127.90753153","-0.112947","-3.901664","-3.072751225","-176.055677","2.915473","CUBIC_HERMITE","0","0","0","none","waypoint_only"
"13","37.30413900","127.90752871","-0.362433","-3.917677","-3.080759947","-176.514543","3.165473","CUBIC_HERMITE","0","0","0","none","waypoint_only"
"14","37.30413887","127.90752590","-0.612019","-3.932061","-3.086099764","-176.820492","3.415472","CUBIC_HERMITE","0","0","0","none","waypoint_only"
"15","37.30413875","127.90752308","-0.861662","-3.945410","-3.089234579","-177.000103","3.665472","CUBIC_HERMITE","0","0","0","none","waypoint_only"
"16","37.30413863","127.90752026","-1.111333","-3.958228","-3.090442959","-177.069338","3.915472","CUBIC_HERMITE","0","0","0","none","waypoint_only"
"17","37.30413852","127.90751745","-1.361008","-3.970973","-3.089867344","-177.036358","4.165472","CUBIC_HERMITE","0","0","0","none","waypoint_only"
"18","37.30413840","127.90751463","-1.610664","-3.984079","-3.087543774","-176.903227","4.415472","CUBIC_HERMITE","0","0","0","none","waypoint_only"
"19","37.30413828","127.90751182","-1.860277","-3.997984","-3.083414444","-176.666634","4.665472","CUBIC_HERMITE","0","0","0","none","waypoint_only"
"20","37.30413814","127.90750900","-2.109816","-4.013152","-3.077317572","-176.317309","4.915472","CUBIC_HERMITE","0","0","0","none","waypoint_only"
"21","37.30413799","127.90750619","-2.359240","-4.030100","-3.068961474","-175.838540","5.165471","CUBIC_HERMITE","0","0","0","none","waypoint_only"
"22","37.30413781","127.90750338","-2.608490","-4.049435","-3.057888356","-175.204097","5.415470","CUBIC_HERMITE","0","0","0","none","waypoint_only"
"23","37.30413761","127.90750057","-2.857477","-4.071902","-3.043373862","-174.372478","5.665468","CUBIC_HERMITE","0","0","0","none","waypoint_only"
"24","37.30413737","127.90749776","-3.106058","-4.098463","-3.024269178","-173.277860","5.915464","CUBIC_HERMITE","0","0","0","none","waypoint_only"
"25","37.30413708","127.90749497","-3.354000","-4.130424","-2.998656360","-171.810354","6.165457","CUBIC_HERMITE","0","0","0","none","waypoint_only"
"26","37.30413673","127.90749218","-3.600886","-4.169678","-2.963143369","-169.775609","6.415445","CUBIC_HERMITE","0","0","0","none","waypoint_only"
"27","37.30413628","127.90748942","-3.845916","-4.219150","-2.911051904","-166.790988","6.665419","CUBIC_HERMITE","0","0","0","none","waypoint_only"
"28","37.30413570","127.90748670","-4.087332","-4.283853","-2.827039342","-161.977423","6.915355","CUBIC_HERMITE","0","0","0","none","waypoint_only"
"29","37.30413489","127.90748407","-4.320467","-4.373548","-2.667350167","-152.827907","7.165149","CUBIC_HERMITE","0","0","0","none","waypoint_only"
"30","37.30413366","127.90748172","-4.528491","-4.510307","-2.542076507","-145.650255","7.414101","CUBIC_HERMITE","0","0","0","none","waypoint_only"
"31","37.30413351","127.90748153","-4.545000","-4.527000","-2.350644791","-134.682026","7.437579","CUBIC_HERMITE","0","0","0","none","waypoint_only"
