"idx","lat","lon","east_m","north_m","yaw_rad","yaw_deg","s_m","segment_type","zone_id","inside_zone","parking_mode","drive_mode"
"0","37.30352422","127.90679021","-65.835000","-72.148000","-0.057925726","-3.318900","0.000000","CUBIC_HERMITE","1","1","none","mission"
"1","37.30352409","127.90679302","-65.585487","-72.162469","-0.076996199","-4.411557","0.249932","CUBIC_HERMITE","1","1","none","mission"
"2","37.30352387","127.90679583","-65.336642","-72.186448","-0.099859408","-5.721523","0.499930","CUBIC_HERMITE","1","1","none","mission"
"3","37.30352364","127.90679864","-65.087984","-72.212316","-0.102896703","-5.895547","0.749930","CUBIC_HERMITE","1","1","none","mission"
"4","37.30352341","127.90680144","-64.839287","-72.237805","-0.098721979","-5.656353","0.999930","CUBIC_HERMITE","1","1","none","mission"
"5","37.30352320","127.90680425","-64.590422","-72.261596","-0.089622028","-5.134964","1.249929","CUBIC_HERMITE","1","1","none","mission"
"6","37.30352301","127.90680706","-64.341304","-72.282555","-0.075732504","-4.339153","1.499927","CUBIC_HERMITE","1","1","none","mission"
"7","37.30352286","127.90680987","-64.091878","-72.299424","-0.055959885","-3.206265","1.749923","CUBIC_HERMITE","1","1","none","mission"
"8","37.30352276","127.90681269","-63.842132","-72.310518","-0.027605122","-1.581657","1.999915","CUBIC_HERMITE","1","1","none","mission"
"9","37.30352273","127.90681551","-63.592164","-72.313223","0.015425927","0.883841","2.249898","CUBIC_HERMITE","1","1","none","mission"
"10","37.30352283","127.90681832","-63.342428","-72.302809","0.089416199","5.123171","2.499851","CUBIC_HERMITE","1","1","none","mission"
"11","37.30352313","127.90682112","-63.094964","-72.268646","0.260028306","14.898524","2.749662","CUBIC_HERMITE","1","1","none","mission"
"12","37.30352397","127.90682371","-62.864964","-72.175779","0.434506346","24.895380","2.997703","CUBIC_HERMITE","1","1","none","mission"
"13","37.30352422","127.90682405","-62.835000","-72.148000","0.827396566","47.406331","3.038563","CUBIC_HERMITE","1","1","none","mission"
"14","37.30352590","127.90682593","-62.668319","-71.961882","0.840436251","48.153450","3.288407","STRAIGHT","1","1","none","mission"
"15","37.30352757","127.90682781","-62.501639","-71.775765","0.840436251","48.153450","3.538251","STRAIGHT","1","1","none","mission"
"16","37.30352925","127.90682969","-62.334958","-71.589647","0.840436251","48.153450","3.788096","STRAIGHT","1","1","none","mission"
"17","37.30353093","127.90683157","-62.168277","-71.403529","0.840436251","48.153450","4.037940","STRAIGHT","1","1","none","mission"
"18","37.30353261","127.90683345","-62.001597","-71.217412","0.840436251","48.153450","4.287785","STRAIGHT","1","1","none","mission"
"19","37.30353428","127.90683533","-61.834916","-71.031294","0.840436251","48.153450","4.537629","STRAIGHT","1","1","none","mission"
"20","37.30353596","127.90683721","-61.668235","-70.845176","0.840436251","48.153450","4.787473","STRAIGHT","1","1","none","mission"
"21","37.30353764","127.90683909","-61.501555","-70.659059","0.840436251","48.153450","5.037318","STRAIGHT","1","1","none","mission"
"22","37.30353931","127.90684097","-61.334874","-70.472941","0.840436251","48.153450","5.287162","STRAIGHT","1","1","none","mission"
"23","37.30354099","127.90684285","-61.168193","-70.286824","0.840436251","48.153450","5.537007","STRAIGHT","1","1","none","mission"
"24","37.30354267","127.90684473","-61.001513","-70.100706","0.840436251","48.153450","5.786851","STRAIGHT","1","1","none","mission"
"25","37.30354434","127.90684661","-60.834832","-69.914588","0.840436251","48.153450","6.036695","STRAIGHT","1","1","none","mission"
"26","37.30354602","127.90684849","-60.668151","-69.728471","0.840436251","48.153450","6.286540","STRAIGHT","1","1","none","mission"
"27","37.30354770","127.90685037","-60.501471","-69.542353","0.840436251","48.153450","6.536384","STRAIGHT","1","1","none","mission"
"28","37.30354938","127.90685225","-60.334790","-69.356235","0.840436251","48.153450","6.786229","STRAIGHT","1","1","none","mission"
"29","37.30355105","127.90685413","-60.168109","-69.170118","0.840436251","48.153450","7.036073","STRAIGHT","1","1","none","mission"
"30","37.30355273","127.90685601","-60.001429","-68.984000","0.840436251","48.153450","7.285917","STRAIGHT","1","1","none","mission"
"31","37.30355441","127.90685789","-59.834748","-68.797882","0.840436251","48.153450","7.535762","STRAIGHT","1","1","none","mission"
"32","37.30355608","127.90685977","-59.668067","-68.611765","0.840436251","48.153450","7.785606","STRAIGHT","1","1","none","mission"
"33","37.30355776","127.90686165","-59.501387","-68.425647","0.840436251","48.153450","8.035451","STRAIGHT","1","1","none","mission"
"34","37.30355944","127.90686353","-59.334706","-68.239529","0.840436251","48.153450","8.285295","STRAIGHT","1","1","none","mission"
"35","37.30356111","127.90686541","-59.168025","-68.053412","0.840436251","48.153450","8.535139","STRAIGHT","1","1","none","mission"
"36","37.30356279","127.90686729","-59.001345","-67.867294","0.840436251","48.153450","8.784984","STRAIGHT","1","1","none","mission"
"37","37.30356447","127.90686917","-58.834664","-67.681176","0.840436251","48.153450","9.034828","STRAIGHT","1","1","none","mission"
"38","37.30356615","127.90687105","-58.667983","-67.495059","0.840436251","48.153450","9.284673","STRAIGHT","1","1","none","mission"
