idx,utc,lat,lon,height_m,east_m,north_m,quality
0,092815.62,37.3041743,127.9075328,182.600,0.000,0.000,4
1,092831.50,37.3041723,127.9075303,182.700,-0.221,-0.223,4
2,092832.87,37.3041705,127.9075277,182.600,-0.457,-0.427,4
3,092834.12,37.3041685,127.9075252,182.600,-0.679,-0.649,4
4,092835.37,37.3041665,127.9075227,182.600,-0.900,-0.872,4
5,092836.50,37.3041648,127.9075200,182.700,-1.136,-1.058,4
6,092837.75,37.3041627,127.9075175,182.700,-1.358,-1.299,4
7,092838.87,37.3041607,127.9075150,182.700,-1.579,-1.521,4
8,092840.00,37.3041587,127.9075125,182.600,-1.800,-1.744,4
9,092841.12,37.3041568,127.9075098,182.700,-2.037,-1.948,4
10,092842.25,37.3041548,127.9075073,182.600,-2.258,-2.171,4
11,092843.37,37.3041528,127.9075048,182.700,-2.479,-2.393,4
12,092844.50,37.3041507,127.9075023,182.600,-2.701,-2.635,4
13,092845.62,37.3041487,127.9075000,182.600,-2.907,-2.857,4
14,092846.75,37.3041463,127.9074975,182.600,-3.129,-3.117,4
15,092847.25,37.3041443,127.9074950,182.600,-3.350,-3.340,4
16,092847.75,37.3041418,127.9074920,182.600,-3.616,-3.618,4
17,092848.12,37.3041400,127.9074893,182.700,-3.852,-3.822,4
18,092848.50,37.3041382,127.9074868,182.700,-4.073,-4.026,4
19,092849.00,37.3041358,127.9074837,182.700,-4.354,-4.286,4
20,092849.37,37.3041337,127.9074815,182.600,-4.545,-4.527,4
21,092849.87,37.3041310,127.9074785,182.700,-4.811,-4.824,4
22,092850.37,37.3041285,127.9074753,182.700,-5.091,-5.102,4
23,092850.87,37.3041260,127.9074722,182.600,-5.372,-5.380,4
24,092851.37,37.3041238,127.9074687,182.600,-5.682,-5.622,4
25,092851.75,37.3041217,127.9074663,182.700,-5.888,-5.863,4
26,092852.12,37.3041198,127.9074638,182.700,-6.110,-6.067,4
27,092852.50,37.3041178,127.9074615,182.700,-6.316,-6.290,4
28,092853.00,37.3041153,127.9074585,182.600,-6.582,-6.568,4
29,092853.37,37.3041133,127.9074560,182.700,-6.803,-6.791,4
30,092853.87,37.3041107,127.9074532,182.600,-7.054,-7.087,4
31,092854.25,37.3041087,127.9074505,182.600,-7.290,-7.310,4
32,092854.62,37.3041067,127.9074482,182.600,-7.497,-7.533,4
33,092855.00,37.3041048,127.9074457,182.600,-7.718,-7.737,4
34,092855.37,37.3041030,127.9074430,182.600,-7.954,-7.941,4
35,092855.75,37.3041010,127.9074407,182.600,-8.161,-8.163,4
36,092856.12,37.3040992,127.9074382,182.600,-8.382,-8.368,4
37,092856.50,37.3040970,127.9074357,182.600,-8.604,-8.609,4
38,092856.87,37.3040950,127.9074333,182.600,-8.810,-8.831,4
39,092857.25,37.3040932,127.9074307,182.600,-9.047,-9.035,4
40,092857.62,37.3040913,127.9074282,182.600,-9.268,-9.240,4
41,092858.00,37.3040892,127.9074258,182.600,-9.475,-9.481,4
42,092858.37,37.3040872,127.9074233,182.600,-9.696,-9.703,4
43,092858.75,37.3040852,127.9074210,182.600,-9.903,-9.926,4
44,092859.12,37.3040830,127.9074187,182.600,-10.109,-10.167,4
45,092859.50,37.3040810,127.9074162,182.600,-10.331,-10.390,4
46,092859.87,37.3040790,127.9074137,182.600,-10.552,-10.613,4
47,092900.25,37.3040770,127.9074113,182.600,-10.758,-10.835,4
48,092900.62,37.3040750,127.9074085,182.600,-11.009,-11.058,4
49,092901.00,37.3040730,127.9074062,182.600,-11.216,-11.280,4
50,092901.37,37.3040710,127.9074038,182.600,-11.423,-11.503,4
51,092901.75,37.3040688,127.9074015,182.600,-11.629,-11.744,4
52,092902.12,37.3040668,127.9073990,182.600,-11.851,-11.967,4
53,092902.50,37.3040647,127.9073965,182.600,-12.072,-12.208,4
54,092902.87,37.3040628,127.9073940,182.700,-12.293,-12.412,4
55,092903.25,37.3040608,127.9073915,182.700,-12.515,-12.635,4
56,092903.62,37.3040587,127.9073893,182.600,-12.707,-12.876,4
57,092904.00,37.3040567,127.9073870,182.700,-12.913,-13.099,4
58,092904.37,37.3040545,127.9073845,182.700,-13.135,-13.340,4
59,092904.75,37.3040525,127.9073822,182.700,-13.341,-13.562,4
60,092905.12,37.3040503,127.9073800,182.600,-13.533,-13.804,4
61,092905.50,37.3040485,127.9073775,182.700,-13.754,-14.008,4
62,092905.87,37.3040463,127.9073752,182.600,-13.961,-14.249,4
63,092906.25,37.3040442,127.9073728,182.600,-14.168,-14.490,4
64,092906.62,37.3040425,127.9073702,182.700,-14.404,-14.676,4
65,092907.00,37.3040405,127.9073675,182.700,-14.640,-14.898,4
66,092907.37,37.3040385,127.9073652,182.700,-14.846,-15.121,4
67,092907.75,37.3040365,127.9073627,182.700,-15.068,-15.344,4
68,092908.12,37.3040345,127.9073602,182.700,-15.289,-15.566,4
69,092908.50,37.3040323,127.9073578,182.700,-15.496,-15.807,4
70,092908.87,37.3040305,127.9073553,182.600,-15.717,-16.012,4
71,092909.25,37.3040283,127.9073530,182.700,-15.924,-16.253,4
72,092909.62,37.3040263,127.9073507,182.700,-16.130,-16.475,4
73,092910.00,37.3040243,127.9073482,182.700,-16.352,-16.698,4
74,092910.37,37.3040222,127.9073458,182.700,-16.558,-16.939,4
75,092910.75,37.3040200,127.9073435,182.700,-16.765,-17.180,4
76,092911.12,37.3040180,127.9073412,182.700,-16.972,-17.403,4
77,092911.50,37.3040158,127.9073388,182.700,-17.178,-17.644,4
78,092911.87,37.3040138,127.9073363,182.700,-17.400,-17.867,4
79,092912.25,37.3040118,127.9073340,182.700,-17.606,-18.090,4
80,092912.62,37.3040098,127.9073317,182.700,-17.813,-18.312,4
81,092913.00,37.3040077,127.9073295,182.700,-18.005,-18.553,4
82,092913.37,37.3040057,127.9073268,182.700,-18.241,-18.776,4
83,092913.75,37.3040038,127.9073243,182.700,-18.462,-18.980,4
84,092914.12,37.3040017,127.9073218,182.700,-18.683,-19.221,4
85,092914.50,37.3039995,127.9073195,182.700,-18.890,-19.462,4
86,092914.87,37.3039975,127.9073170,182.600,-19.111,-19.685,4
87,092915.25,37.3039953,127.9073148,182.700,-19.303,-19.926,4
88,092915.62,37.3039932,127.9073125,182.700,-19.510,-20.167,4
89,092916.12,37.3039905,127.9073095,182.700,-19.776,-20.464,4
90,092916.50,37.3039883,127.9073073,182.700,-19.967,-20.706,4
91,092916.87,37.3039863,127.9073048,182.700,-20.189,-20.928,4
92,092917.25,37.3039843,127.9073022,182.700,-20.425,-21.151,4
93,092917.62,37.3039825,127.9072995,182.700,-20.661,-21.355,4
94,092918.00,37.3039803,127.9072972,182.700,-20.868,-21.596,4
95,092918.37,37.3039782,127.9072948,182.700,-21.074,-21.837,4
96,092918.75,37.3039760,127.9072925,182.700,-21.281,-22.078,4
97,092919.12,37.3039740,127.9072900,182.700,-21.502,-22.301,4
98,092919.50,37.3039718,127.9072877,182.700,-21.709,-22.542,4
99,092919.87,37.3039697,127.9072855,182.700,-21.901,-22.783,4
