idx,utc,lat,lon,height_m,east_m,north_m,quality
0,092028.38,37.3041632,127.9075497,182.600,0.000,0.000,4
1,092046.00,37.3041613,127.9075472,182.600,-0.221,-0.204,4
2,092047.38,37.3041595,127.9075445,182.600,-0.457,-0.408,4
3,092048.63,37.3041577,127.9075420,182.600,-0.679,-0.612,4
4,092049.88,37.3041558,127.9075395,182.600,-0.900,-0.816,4
5,092051.13,37.3041538,127.9075368,182.600,-1.136,-1.039,4
6,092052.38,37.3041518,127.9075342,182.600,-1.372,-1.262,4
7,092053.50,37.3041500,127.9075317,182.600,-1.594,-1.466,4
8,092054.75,37.3041478,127.9075292,182.600,-1.815,-1.707,4
9,092055.88,37.3041460,127.9075267,182.600,-2.037,-1.911,4
10,092057.00,37.3041440,127.9075242,182.600,-2.258,-2.134,4
11,092058.25,37.3041418,127.9075217,182.600,-2.479,-2.375,4
12,092059.38,37.3041398,127.9075190,182.600,-2.715,-2.597,4
13,092100.50,37.3041378,127.9075165,182.600,-2.937,-2.820,4
14,092101.63,37.3041360,127.9075140,182.500,-3.158,-3.024,4
15,092102.75,37.3041338,127.9075117,182.600,-3.365,-3.265,4
16,092103.88,37.3041320,127.9075090,182.600,-3.601,-3.469,4
17,092105.00,37.3041300,127.9075063,182.600,-3.837,-3.692,4
18,092106.13,37.3041280,127.9075037,182.600,-4.073,-3.915,4
19,092107.25,37.3041260,127.9075013,182.600,-4.280,-4.137,4
20,092108.38,37.3041242,127.9074987,182.600,-4.516,-4.341,4
21,092109.63,37.3041222,127.9074960,182.600,-4.752,-4.564,4
22,092110.75,37.3041203,127.9074935,182.600,-4.973,-4.768,4
23,092111.88,37.3041185,127.9074910,182.600,-5.195,-4.972,4
24,092113.00,37.3041167,127.9074885,182.600,-5.416,-5.176,4
25,092114.00,37.3041148,127.9074860,182.600,-5.638,-5.380,4
26,092115.13,37.3041130,127.9074835,182.600,-5.859,-5.585,4
27,092116.25,37.3041110,127.9074812,182.600,-6.065,-5.807,4
28,092117.50,37.3041090,127.9074785,182.600,-6.302,-6.030,4
29,092118.63,37.3041068,127.9074762,182.600,-6.508,-6.271,4
30,092119.75,37.3041048,127.9074738,182.600,-6.715,-6.494,4
31,092121.00,37.3041027,127.9074713,182.600,-6.936,-6.735,4
32,092122.13,37.3041005,127.9074690,182.600,-7.143,-6.976,4
33,092123.25,37.3040985,127.9074667,182.600,-7.349,-7.199,4
34,092124.38,37.3040965,127.9074642,182.600,-7.571,-7.421,4
35,092125.50,37.3040945,127.9074618,182.600,-7.777,-7.644,4
36,092126.63,37.3040925,127.9074595,182.600,-7.984,-7.867,4
37,092127.75,37.3040907,127.9074570,182.600,-8.205,-8.071,4
38,092128.88,37.3040885,127.9074547,182.600,-8.412,-8.312,4
