idx,utc,lat,lon,height_m,east_m,north_m,quality
0,114745.50,37.3041588,127.9075390,183.700,0.000,0.000,4
1,114750.87,37.3041570,127.9075382,183.700,-0.074,-0.204,4
2,114751.37,37.3041552,127.9075358,183.700,-0.280,-0.408,4
3,114751.75,37.3041533,127.9075332,183.700,-0.517,-0.612,4
4,114752.00,37.3041520,127.9075313,183.700,-0.679,-0.761,4
5,114752.25,37.3041505,127.9075295,183.700,-0.841,-0.928,4
6,114752.50,37.3041492,127.9075273,183.700,-1.033,-1.076,4
7,114752.75,37.3041477,127.9075252,183.600,-1.225,-1.243,4
8,114753.00,37.3041463,127.9075230,183.700,-1.417,-1.391,4
9,114753.25,37.3041448,127.9075210,183.700,-1.594,-1.558,4
10,114753.50,37.3041433,127.9075192,183.700,-1.756,-1.725,4
11,114753.75,37.3041420,127.9075170,183.700,-1.948,-1.874,4
12,114754.00,37.3041407,127.9075147,183.700,-2.155,-2.022,4
13,114754.25,37.3041393,127.9075123,183.700,-2.361,-2.171,4
14,114754.50,37.3041377,127.9075103,183.700,-2.538,-2.356,4
15,114754.75,37.3041362,127.9075078,183.700,-2.760,-2.523,4
16,114755.00,37.3041345,127.9075055,183.700,-2.966,-2.709,4
17,114755.25,37.3041328,127.9075032,183.700,-3.173,-2.894,4
18,114755.50,37.3041312,127.9075008,183.700,-3.380,-3.080,4
19,114755.75,37.3041293,127.9074987,183.700,-3.571,-3.284,4
20,114756.00,37.3041277,127.9074963,183.700,-3.778,-3.469,4
21,114756.25,37.3041258,127.9074940,183.600,-3.985,-3.674,4
22,114756.50,37.3041243,127.9074913,183.700,-4.221,-3.841,4
23,114756.75,37.3041222,127.9074890,183.700,-4.427,-4.082,4
24,114757.00,37.3041203,127.9074867,183.700,-4.634,-4.286,4
25,114757.25,37.3041187,127.9074842,183.700,-4.855,-4.471,4
26,114757.50,37.3041168,127.9074815,183.700,-5.091,-4.675,4
27,114757.75,37.3041147,127.9074793,183.700,-5.283,-4.917,4
28,114758.00,37.3041125,127.9074770,183.600,-5.490,-5.158,4
29,114758.25,37.3041107,127.9074747,183.700,-5.697,-5.362,4
30,114758.50,37.3041090,127.9074722,183.600,-5.918,-5.547,4
