idx,utc,lat,lon,height_m,east_m,north_m,quality
0,054046.38,37.3040565,127.9074247,192.000,0.000,0.000,5
1,054046.63,37.3040548,127.9074258,192.200,0.103,-0.186,5
2,054049.25,37.3040530,127.9074253,192.200,0.059,-0.390,5
3,054049.63,37.3040513,127.9074068,183.700,-1.579,-0.575,4
4,054050.00,37.3040493,127.9074047,183.700,-1.771,-0.798,4
5,054050.25,37.3040478,127.9074030,183.700,-1.919,-0.965,4
6,054050.50,37.3040463,127.9074012,183.700,-2.081,-1.132,4
7,054050.75,37.3040450,127.9073992,183.700,-2.258,-1.280,4
8,054051.00,37.3040437,127.9073970,183.700,-2.450,-1.429,4
9,054051.25,37.3040422,127.9073950,183.700,-2.627,-1.596,4
10,054051.50,37.3040402,127.9073937,183.600,-2.745,-1.818,4
11,054051.75,37.3040385,127.9073918,183.700,-2.907,-2.004,4
12,054052.00,37.3040367,127.9073895,183.600,-3.114,-2.208,4
13,054052.25,37.3040350,127.9073873,183.600,-3.306,-2.393,4
14,054052.50,37.3040333,127.9073850,183.700,-3.512,-2.579,4
15,054052.75,37.3040313,127.9073830,183.700,-3.689,-2.802,4
16,054053.00,37.3040292,127.9073812,183.700,-3.852,-3.043,4
17,054053.25,37.3040270,127.9073790,183.600,-4.044,-3.284,4
18,054053.50,37.3040252,127.9073767,183.600,-4.250,-3.488,4
19,054053.75,37.3040230,127.9073745,183.600,-4.442,-3.729,4
20,054054.00,37.3040207,127.9073723,183.600,-4.634,-3.989,4
21,054054.25,37.3040187,127.9073702,183.600,-4.826,-4.212,4
22,054054.50,37.3040167,127.9073677,183.500,-5.047,-4.434,4
23,054054.75,37.3040147,127.9073655,183.600,-5.239,-4.657,4
24,054055.00,37.3040127,127.9073633,183.600,-5.431,-4.880,4
25,054055.25,37.3040105,127.9073612,183.600,-5.623,-5.121,4
26,054055.50,37.3040088,127.9073587,183.600,-5.844,-5.306,4
27,054055.75,37.3040072,127.9073563,183.600,-6.051,-5.492,4
28,054056.00,37.3040052,127.9073538,183.600,-6.272,-5.714,4
29,054056.25,37.3040032,127.9073515,183.600,-6.479,-5.937,4
30,054056.50,37.3040012,127.9073493,183.600,-6.671,-6.160,4
31,054056.75,37.3039993,127.9073468,183.600,-6.892,-6.364,4
32,054057.00,37.3039975,127.9073442,183.600,-7.128,-6.568,4
33,054057.25,37.3039953,127.9073417,183.600,-7.349,-6.809,4
34,054057.50,37.3039932,127.9073393,183.600,-7.556,-7.050,4
35,054057.75,37.3039912,127.9073367,183.600,-7.792,-7.273,4
36,054058.00,37.3039892,127.9073338,183.600,-8.043,-7.496,4
37,054058.25,37.3039873,127.9073315,183.600,-8.250,-7.700,4
38,054058.50,37.3039852,127.9073290,183.600,-8.471,-7.941,4
39,054058.75,37.3039832,127.9073265,183.700,-8.692,-8.163,4
40,054059.00,37.3039813,127.9073238,183.600,-8.929,-8.368,4
41,054059.25,37.3039795,127.9073212,183.700,-9.165,-8.572,4
42,054059.50,37.3039772,127.9073188,183.600,-9.371,-8.831,4
43,054059.75,37.3039750,127.9073163,183.700,-9.593,-9.073,4
44,054100.00,37.3039727,127.9073138,183.600,-9.814,-9.332,4
45,054100.25,37.3039707,127.9073112,183.600,-10.050,-9.555,4
46,054100.50,37.3039685,127.9073085,183.600,-10.286,-9.796,4
47,054100.75,37.3039662,127.9073060,183.600,-10.508,-10.056,4
48,054101.00,37.3039642,127.9073035,183.600,-10.729,-10.279,4
49,054101.25,37.3039622,127.9073008,183.600,-10.965,-10.501,4
50,054101.50,37.3039600,127.9072980,183.600,-11.216,-10.742,4
51,054101.75,37.3039577,127.9072957,183.600,-11.423,-11.002,4
52,054102.00,37.3039555,127.9072932,183.600,-11.644,-11.243,4
53,054102.25,37.3039535,127.9072905,183.600,-11.880,-11.466,4
54,054102.50,37.3039513,127.9072878,183.700,-12.116,-11.707,4
55,054102.75,37.3039488,127.9072857,183.600,-12.308,-11.985,4
56,054103.00,37.3039467,127.9072832,183.600,-12.529,-12.227,4
57,054103.25,37.3039445,127.9072807,183.600,-12.751,-12.468,4
58,054103.50,37.3039423,127.9072780,183.600,-12.987,-12.709,4
59,054103.75,37.3039402,127.9072753,183.600,-13.223,-12.950,4
60,054104.00,37.3039378,127.9072728,183.600,-13.444,-13.210,4
61,054104.25,37.3039357,127.9072702,183.600,-13.681,-13.451,4
62,054104.50,37.3039337,127.9072677,183.600,-13.902,-13.674,4
63,054104.75,37.3039313,127.9072650,183.600,-14.138,-13.934,4
64,054105.00,37.3039290,127.9072627,183.600,-14.345,-14.193,4
65,054105.25,37.3039270,127.9072600,183.600,-14.581,-14.416,4
66,054105.50,37.3039248,127.9072573,183.600,-14.817,-14.657,4
67,054105.75,37.3039228,127.9072545,183.600,-15.068,-14.880,4
68,054106.00,37.3039205,127.9072520,183.600,-15.289,-15.140,4
69,054106.25,37.3039183,127.9072495,183.600,-15.511,-15.381,4
70,054106.50,37.3039160,127.9072468,183.600,-15.747,-15.640,4
71,054106.75,37.3039138,127.9072440,183.600,-15.998,-15.882,4
72,054107.00,37.3039115,127.9072412,183.600,-16.248,-16.141,4
73,054107.25,37.3039092,127.9072385,183.600,-16.485,-16.401,4
74,054107.50,37.3039072,127.9072357,183.600,-16.735,-16.624,4
75,054107.75,37.3039050,127.9072330,183.600,-16.972,-16.865,4
76,054108.00,37.3039027,127.9072303,183.600,-17.208,-17.125,4
77,054108.25,37.3039002,127.9072277,183.600,-17.444,-17.403,4
78,054108.50,37.3038980,127.9072250,183.600,-17.680,-17.644,4
79,054108.75,37.3038958,127.9072227,183.600,-17.887,-17.885,4
80,054109.00,37.3038938,127.9072198,183.600,-18.137,-18.108,4
81,054109.25,37.3038915,127.9072173,183.600,-18.359,-18.368,4
82,054109.50,37.3038892,127.9072147,183.600,-18.595,-18.628,4
83,054109.75,37.3038872,127.9072120,183.700,-18.831,-18.850,4
84,054110.00,37.3038848,127.9072090,183.600,-19.097,-19.110,4
85,054110.25,37.3038825,127.9072062,183.700,-19.348,-19.370,4
86,054110.50,37.3038800,127.9072037,183.600,-19.569,-19.648,4
87,054110.75,37.3038778,127.9072010,183.600,-19.805,-19.889,4
88,054111.00,37.3038755,127.9071985,183.600,-20.026,-20.149,4
89,054111.25,37.3038732,127.9071958,183.700,-20.263,-20.409,4
90,054111.50,37.3038708,127.9071933,183.600,-20.484,-20.668,4
