idx,utc,lat,lon,height_m,east_m,north_m,quality
0,070517.50,37.3006363,127.9791418,222.600,0.000,0.000,4
1,070533.50,37.3006335,127.9791420,222.600,0.015,-0.315,4
2,070534.88,37.3006305,127.9791420,222.600,0.015,-0.649,4
3,070536.25,37.3006275,127.9791418,222.600,0.000,-0.983,4
4,070537.38,37.3006243,127.9791420,222.600,0.015,-1.336,4
5,070538.00,37.3006213,127.9791418,222.600,0.000,-1.670,4
6,070538.63,37.3006183,127.9791418,222.600,0.000,-2.004,4
7,070539.25,37.3006153,127.9791418,222.600,0.000,-2.338,4
8,070539.88,37.3006125,127.9791420,222.600,0.015,-2.653,4
9,070540.50,37.3006093,127.9791420,222.600,0.015,-3.006,4
10,070541.13,37.3006065,127.9791422,222.600,0.030,-3.321,4
11,070541.75,37.3006033,127.9791423,222.600,0.044,-3.674,4
12,070542.38,37.3006002,127.9791425,222.600,0.059,-4.026,4
13,070543.00,37.3005972,127.9791427,222.600,0.074,-4.360,4
14,070543.63,37.3005940,127.9791428,222.600,0.089,-4.713,4
15,070544.25,37.3005910,127.9791425,222.700,0.059,-5.047,4
16,070544.88,37.3005878,127.9791423,222.700,0.044,-5.399,4
17,070545.50,37.3005847,127.9791423,222.700,0.044,-5.752,4
18,070546.13,37.3005817,127.9791422,222.700,0.030,-6.085,4
19,070546.75,37.3005787,127.9791420,222.600,0.015,-6.419,4
20,070547.38,37.3005755,127.9791418,222.700,0.000,-6.772,4
21,070548.00,37.3005725,127.9791418,222.600,0.000,-7.106,4
22,070548.63,37.3005693,127.9791418,222.600,0.000,-7.458,4
23,070549.25,37.3005662,127.9791418,222.700,0.000,-7.811,4
24,070549.88,37.3005632,127.9791417,222.600,-0.015,-8.145,4
25,070550.50,37.3005600,127.9791415,222.600,-0.030,-8.497,4
26,070551.00,37.3005570,127.9791413,222.600,-0.044,-8.831,4
27,070551.38,37.3005542,127.9791413,222.600,-0.044,-9.147,4
28,070551.88,37.3005507,127.9791412,222.600,-0.059,-9.536,4
29,070552.25,37.3005478,127.9791412,222.600,-0.059,-9.852,4
30,070552.75,37.3005443,127.9791410,222.600,-0.074,-10.241,4
31,070553.13,37.3005415,127.9791410,222.600,-0.074,-10.557,4
32,070553.63,37.3005378,127.9791410,222.600,-0.074,-10.965,4
33,070554.13,37.3005342,127.9791407,222.700,-0.103,-11.373,4
34,070554.50,37.3005313,127.9791407,222.700,-0.103,-11.689,4
35,070555.00,37.3005277,127.9791407,222.700,-0.103,-12.097,4
36,070555.50,37.3005240,127.9791403,222.700,-0.133,-12.505,4
37,070556.00,37.3005203,127.9791403,222.700,-0.133,-12.913,4
38,070556.50,37.3005167,127.9791402,222.700,-0.148,-13.321,4
39,070556.88,37.3005138,127.9791402,222.700,-0.148,-13.637,4
40,070557.38,37.3005102,127.9791402,222.700,-0.148,-14.045,4
41,070557.88,37.3005065,127.9791402,222.700,-0.148,-14.453,4
42,070558.25,37.3005037,127.9791403,222.700,-0.133,-14.768,4
43,070558.75,37.3005000,127.9791403,222.700,-0.133,-15.177,4
44,070559.13,37.3004972,127.9791405,222.700,-0.118,-15.492,4
45,070559.63,37.3004937,127.9791402,222.700,-0.148,-15.882,4
46,070600.00,37.3004908,127.9791403,222.700,-0.133,-16.197,4
47,070600.38,37.3004880,127.9791400,222.700,-0.162,-16.512,4
48,070600.88,37.3004843,127.9791400,222.700,-0.162,-16.921,4
49,070601.38,37.3004807,127.9791400,222.700,-0.162,-17.329,4
50,070601.88,37.3004772,127.9791397,222.700,-0.192,-17.718,4
51,070602.25,37.3004743,127.9791397,222.700,-0.192,-18.034,4
52,070602.75,37.3004707,127.9791395,222.700,-0.207,-18.442,4
53,070603.13,37.3004678,127.9791395,222.700,-0.207,-18.757,4
54,070603.63,37.3004643,127.9791395,222.700,-0.207,-19.147,4
55,070604.00,37.3004615,127.9791393,222.800,-0.221,-19.462,4
56,070604.38,37.3004587,127.9791392,222.800,-0.236,-19.778,4
57,070604.88,37.3004550,127.9791392,222.800,-0.236,-20.186,4
58,070605.38,37.3004513,127.9791392,222.800,-0.236,-20.594,4
59,070605.75,37.3004485,127.9791390,222.800,-0.251,-20.910,4
60,070606.25,37.3004448,127.9791390,222.800,-0.251,-21.318,4
61,070606.75,37.3004412,127.9791390,222.800,-0.251,-21.726,4
62,070607.13,37.3004382,127.9791393,222.800,-0.221,-22.060,4
63,070607.50,37.3004353,127.9791393,222.800,-0.221,-22.375,4
64,070607.88,37.3004325,127.9791393,222.800,-0.221,-22.691,4
65,070608.25,37.3004297,127.9791393,222.800,-0.221,-23.006,4
66,070608.63,37.3004268,127.9791395,222.800,-0.207,-23.322,4
67,070609.00,37.3004240,127.9791395,222.800,-0.207,-23.637,4
68,070609.38,37.3004212,127.9791397,222.800,-0.192,-23.952,4
69,070609.75,37.3004183,127.9791398,222.800,-0.177,-24.268,4
70,070610.13,37.3004155,127.9791400,222.800,-0.162,-24.583,4
71,070610.50,37.3004125,127.9791402,222.800,-0.148,-24.917,4
72,070610.88,37.3004097,127.9791403,222.800,-0.133,-25.233,4
73,070611.38,37.3004065,127.9791407,222.800,-0.103,-25.585,4
74,070612.00,37.3004032,127.9791408,222.800,-0.089,-25.956,4
75,070612.63,37.3003998,127.9791410,222.800,-0.074,-26.327,4
76,070613.25,37.3003967,127.9791410,222.800,-0.074,-26.680,4
77,070613.88,37.3003935,127.9791412,222.800,-0.059,-27.032,4
78,070614.50,37.3003902,127.9791413,222.800,-0.044,-27.403,4
79,070615.13,37.3003870,127.9791415,222.800,-0.030,-27.756,4
80,070615.75,37.3003838,127.9791415,222.800,-0.030,-28.108,4
81,070616.38,37.3003807,127.9791415,222.800,-0.030,-28.461,4
82,070616.88,37.3003773,127.9791417,222.800,-0.015,-28.832,4
83,070617.38,37.3003738,127.9791418,222.800,0.000,-29.222,4
84,070617.75,37.3003710,127.9791417,222.800,-0.015,-29.537,4
85,070618.25,37.3003675,127.9791417,222.800,-0.015,-29.927,4
86,070618.63,37.3003647,127.9791417,222.800,-0.015,-30.242,4
87,070619.13,37.3003612,127.9791420,222.800,0.015,-30.632,4
88,070619.63,37.3003577,127.9791422,222.800,0.030,-31.021,4
89,070620.13,37.3003540,127.9791423,222.800,0.044,-31.429,4
90,070620.63,37.3003505,127.9791422,222.800,0.030,-31.819,4
91,070621.00,37.3003477,127.9791422,222.800,0.030,-32.134,4
92,070621.50,37.3003440,127.9791423,222.800,0.044,-32.543,4
93,070621.88,37.3003410,127.9791422,222.800,0.030,-32.877,4
94,070622.38,37.3003375,127.9791420,222.800,0.015,-33.266,4
95,070622.88,37.3003338,127.9791417,222.800,-0.015,-33.674,4
96,070623.38,37.3003305,127.9791417,222.800,-0.015,-34.045,4
97,070623.88,37.3003275,127.9791415,222.800,-0.030,-34.379,4
98,070624.63,37.3003247,127.9791413,222.900,-0.044,-34.695,4
99,070625.38,37.3003218,127.9791413,222.900,-0.044,-35.010,4
100,070626.00,37.3003188,127.9791413,223.000,-0.044,-35.344,4
101,070626.75,37.3003158,127.9791413,223.000,-0.044,-35.678,4
102,070627.25,37.3003127,127.9791413,223.100,-0.044,-36.031,4
103,070627.75,37.3003093,127.9791413,223.100,-0.044,-36.402,4
104,070628.25,37.3003062,127.9791412,223.200,-0.059,-36.754,4
105,070628.75,37.3003028,127.9791413,223.200,-0.044,-37.125,4
106,070629.25,37.3002995,127.9791413,223.300,-0.044,-37.496,4
107,070629.75,37.3002962,127.9791413,223.300,-0.044,-37.867,4
108,070630.25,37.3002930,127.9791415,223.400,-0.030,-38.220,4
109,070630.75,37.3002895,127.9791413,223.400,-0.044,-38.609,4
110,070631.25,37.3002863,127.9791417,223.500,-0.015,-38.962,4
111,070631.75,37.3002828,127.9791417,223.500,-0.015,-39.352,4
112,070632.25,37.3002797,127.9791412,223.600,-0.059,-39.704,4
113,070632.63,37.3002768,127.9791417,223.600,-0.015,-40.020,4
114,070633.13,37.3002733,127.9791417,223.700,-0.015,-40.409,4
115,070633.75,37.3002702,127.9791417,223.700,-0.015,-40.762,4
116,070634.25,37.3002672,127.9791420,223.700,0.015,-41.096,4
117,070634.88,37.3002640,127.9791427,223.800,0.074,-41.448,4
118,070635.50,37.3002612,127.9791438,223.800,0.177,-41.764,4
119,070636.00,37.3002585,127.9791445,223.900,0.236,-42.060,4
120,070636.50,37.3002560,127.9791463,223.900,0.398,-42.339,4
121,070637.00,37.3002533,127.9791482,223.900,0.561,-42.636,4
122,070637.50,37.3002503,127.9791497,223.900,0.694,-42.970,4
123,070638.00,37.3002475,127.9791517,223.900,0.871,-43.285,4
124,070638.50,37.3002447,127.9791538,223.900,1.063,-43.600,4
125,070639.00,37.3002420,127.9791557,223.900,1.225,-43.897,4
126,070639.50,37.3002393,127.9791575,223.900,1.387,-44.194,4
127,070640.00,37.3002368,127.9791592,223.900,1.535,-44.472,4
128,070640.50,37.3002343,127.9791610,223.900,1.697,-44.751,4
129,070641.13,37.3002315,127.9791632,223.900,1.889,-45.066,4
130,070641.63,37.3002292,127.9791652,223.900,2.066,-45.326,4
131,070642.13,37.3002268,127.9791670,223.900,2.229,-45.586,4
132,070642.75,37.3002237,127.9791687,223.900,2.376,-45.938,4
133,070643.25,37.3002210,127.9791702,223.900,2.509,-46.235,4
134,070643.75,37.3002180,127.9791710,223.900,2.583,-46.569,4
135,070644.25,37.3002148,127.9791722,223.900,2.686,-46.921,4
136,070644.75,37.3002118,127.9791725,223.800,2.716,-47.255,4
137,070645.25,37.3002088,127.9791732,223.800,2.775,-47.589,4
138,070645.75,37.3002060,127.9791738,223.800,2.834,-47.905,4
139,070646.25,37.3002032,127.9791738,223.800,2.834,-48.220,4
140,070646.75,37.3002003,127.9791742,223.700,2.863,-48.536,4
141,070647.25,37.3001975,127.9791745,223.700,2.893,-48.851,4
142,070647.75,37.3001947,127.9791747,223.700,2.907,-49.166,4
143,070648.25,37.3001912,127.9791748,223.700,2.922,-49.556,4
144,070648.63,37.3001882,127.9791745,223.700,2.893,-49.890,4
145,070649.00,37.3001853,127.9791747,223.600,2.907,-50.205,4
146,070649.38,37.3001825,127.9791743,223.600,2.878,-50.521,4
147,070649.75,37.3001797,127.9791742,223.600,2.863,-50.836,4
148,070650.13,37.3001768,127.9791738,223.600,2.834,-51.152,4
149,070650.50,37.3001740,127.9791735,223.600,2.804,-51.467,4
150,070650.88,37.3001712,127.9791732,223.500,2.775,-51.782,4
151,070651.25,37.3001682,127.9791732,223.500,2.775,-52.116,4
152,070651.63,37.3001652,127.9791730,223.500,2.760,-52.450,4
153,070652.00,37.3001623,127.9791728,223.400,2.745,-52.766,4
154,070652.38,37.3001595,127.9791732,223.400,2.775,-53.081,4
155,070652.75,37.3001565,127.9791733,223.400,2.789,-53.415,4
156,070653.13,37.3001537,127.9791733,223.400,2.789,-53.730,4
157,070653.50,37.3001510,127.9791727,223.300,2.730,-54.027,4
158,070653.88,37.3001482,127.9791722,223.300,2.686,-54.343,4
159,070654.25,37.3001453,127.9791718,223.300,2.657,-54.658,4
160,070654.63,37.3001423,127.9791713,223.200,2.612,-54.992,4
161,070655.00,37.3001395,127.9791710,223.200,2.583,-55.307,4
162,070655.38,37.3001365,127.9791708,223.200,2.568,-55.641,4
163,070655.75,37.3001338,127.9791702,223.100,2.509,-55.938,4
164,070656.13,37.3001310,127.9791698,223.100,2.479,-56.254,4
165,070656.63,37.3001275,127.9791690,223.100,2.406,-56.643,4
166,070657.00,37.3001248,127.9791685,223.100,2.361,-56.940,4
167,070657.38,37.3001220,127.9791680,223.100,2.317,-57.256,4
168,070657.88,37.3001190,127.9791675,223.100,2.273,-57.590,4
169,070658.38,37.3001162,127.9791670,223.000,2.229,-57.905,4
170,070658.75,37.3001135,127.9791665,223.000,2.184,-58.202,4
171,070659.25,37.3001105,127.9791657,223.000,2.110,-58.536,4
172,070659.63,37.3001075,127.9791652,223.000,2.066,-58.870,4
173,070700.00,37.3001047,127.9791647,223.000,2.022,-59.185,4
174,070700.50,37.3001013,127.9791633,223.000,1.904,-59.556,4
175,070701.00,37.3000982,127.9791617,223.000,1.756,-59.909,4
176,070701.38,37.3000955,127.9791607,223.000,1.668,-60.206,4
177,070701.88,37.3000923,127.9791588,222.900,1.505,-60.558,4
178,070702.38,37.3000893,127.9791567,222.900,1.314,-60.892,4
179,070702.75,37.3000867,127.9791553,222.900,1.195,-61.189,4
180,070703.25,37.3000835,127.9791537,222.900,1.048,-61.541,4
181,070703.63,37.3000812,127.9791518,222.900,0.886,-61.801,4
182,070704.13,37.3000780,127.9791498,222.900,0.708,-62.154,4
183,070704.63,37.3000753,127.9791473,222.900,0.487,-62.451,4
184,070705.13,37.3000725,127.9791448,222.900,0.266,-62.766,4
185,070705.63,37.3000695,127.9791425,222.900,0.059,-63.100,4
186,070706.13,37.3000665,127.9791402,222.900,-0.148,-63.434,4
187,070706.63,37.3000633,127.9791380,223.000,-0.339,-63.786,4
188,070707.00,37.3000608,127.9791367,222.900,-0.458,-64.065,4
189,070707.38,37.3000583,127.9791352,222.900,-0.590,-64.343,4
190,070707.75,37.3000557,127.9791347,222.900,-0.635,-64.640,4
191,070708.13,37.3000527,127.9791342,222.900,-0.679,-64.974,4
192,070708.63,37.3000492,127.9791340,222.900,-0.694,-65.363,4
193,070709.00,37.3000463,127.9791335,223.000,-0.738,-65.679,4
194,070709.50,37.3000427,127.9791332,222.900,-0.767,-66.087,4
195,070710.00,37.3000392,127.9791332,222.900,-0.767,-66.477,4
196,070710.50,37.3000357,127.9791337,223.000,-0.723,-66.866,4
197,070710.88,37.3000330,127.9791348,222.900,-0.620,-67.163,4
198,070711.25,37.3000302,127.9791357,222.900,-0.546,-67.478,4
199,070711.75,37.3000268,127.9791370,223.000,-0.428,-67.850,4
200,070712.25,37.3000233,127.9791382,223.000,-0.325,-68.239,4
201,070712.75,37.3000197,127.9791398,222.900,-0.177,-68.647,4
202,070713.25,37.3000163,127.9791413,223.000,-0.044,-69.018,4
203,070713.75,37.3000132,127.9791433,223.000,0.133,-69.371,4
