idx,utc,lat,lon,height_m,east_m,north_m,quality
0,041400.37,37.2889723,127.1076515,113.300,0.000,0.000,4
1,041406.50,37.2889735,127.1076480,113.300,-0.310,0.130,4
2,041407.12,37.2889745,127.1076447,113.300,-0.605,0.241,4
3,041407.75,37.2889755,127.1076413,113.300,-0.900,0.353,4
4,041408.37,37.2889763,127.1076380,113.300,-1.196,0.445,4
5,041409.00,37.2889773,127.1076345,113.300,-1.506,0.557,4
6,041409.62,37.2889783,127.1076310,113.300,-1.816,0.668,4
7,041410.25,37.2889793,127.1076273,113.300,-2.140,0.779,4
8,041410.87,37.2889805,127.1076237,113.300,-2.465,0.909,4
9,041411.50,37.2889815,127.1076202,113.300,-2.775,1.020,4
10,041412.12,37.2889823,127.1076168,113.300,-3.070,1.113,4
11,041412.75,37.2889833,127.1076132,113.300,-3.395,1.225,4
12,041413.37,37.2889845,127.1076097,113.300,-3.705,1.354,4
13,041414.00,37.2889857,127.1076060,113.300,-4.030,1.484,4
14,041414.62,37.2889867,127.1076023,113.300,-4.354,1.596,4
15,041415.25,37.2889877,127.1075988,113.300,-4.664,1.707,4
16,041415.87,37.2889888,127.1075948,113.300,-5.019,1.837,4
17,041416.37,37.2889900,127.1075907,113.300,-5.388,1.967,4
18,041416.87,37.2889913,127.1075863,113.300,-5.771,2.115,4
19,041417.25,37.2889923,127.1075832,113.300,-6.052,2.226,4
20,041417.62,37.2889930,127.1075798,113.300,-6.347,2.301,4
21,041418.12,37.2889942,127.1075755,113.300,-6.731,2.430,4
22,041418.50,37.2889952,127.1075722,113.300,-7.026,2.542,4
23,041419.00,37.2889962,127.1075678,113.300,-7.410,2.653,4
24,041419.37,37.2889972,127.1075647,113.300,-7.690,2.764,4
25,041419.75,37.2889982,127.1075613,113.300,-7.986,2.876,4
26,041420.25,37.2889992,127.1075570,113.200,-8.369,2.987,4
27,041420.62,37.2890000,127.1075535,113.200,-8.679,3.080,4
28,041421.00,37.2890010,127.1075503,113.300,-8.960,3.191,4
29,041421.37,37.2890018,127.1075470,113.200,-9.255,3.284,4
30,041421.75,37.2890027,127.1075437,113.200,-9.550,3.377,4
31,041422.12,37.2890035,127.1075403,113.300,-9.845,3.469,4
32,041422.62,37.2890047,127.1075360,113.200,-10.229,3.599,4
33,041423.00,37.2890057,127.1075327,113.200,-10.524,3.711,4
34,041423.37,37.2890065,127.1075293,113.300,-10.820,3.803,4
35,041423.87,37.2890077,127.1075250,113.300,-11.203,3.933,4
36,041424.25,37.2890085,127.1075217,113.300,-11.499,4.026,4
37,041424.62,37.2890095,127.1075183,113.200,-11.794,4.137,4
38,041425.00,37.2890108,127.1075153,113.200,-12.060,4.286,4
39,041425.37,37.2890118,127.1075120,113.200,-12.355,4.397,4
40,041425.75,37.2890130,127.1075087,113.200,-12.650,4.527,4
41,041426.25,37.2890143,127.1075043,113.200,-13.034,4.675,4
42,041426.62,37.2890153,127.1075012,113.200,-13.314,4.787,4
43,041427.00,37.2890163,127.1074980,113.200,-13.595,4.898,4
44,041427.37,37.2890173,127.1074945,113.200,-13.905,5.009,4
45,041427.75,37.2890183,127.1074913,113.200,-14.185,5.121,4
46,041428.12,37.2890193,127.1074880,113.200,-14.480,5.232,4
47,041428.50,37.2890203,127.1074847,113.200,-14.776,5.343,4
48,041428.87,37.2890213,127.1074813,113.200,-15.071,5.455,4
49,041429.37,37.2890225,127.1074770,113.200,-15.455,5.585,4
50,041429.75,37.2890233,127.1074737,113.200,-15.750,5.677,4
51,041430.12,37.2890240,127.1074703,113.200,-16.045,5.752,4
52,041430.50,37.2890250,127.1074670,113.200,-16.340,5.863,4
53,041430.87,37.2890257,127.1074637,113.200,-16.635,5.937,4
54,041431.25,37.2890265,127.1074603,113.200,-16.931,6.030,4
55,041431.62,37.2890273,127.1074570,113.200,-17.226,6.123,4
56,041432.00,37.2890283,127.1074537,113.200,-17.521,6.234,4
57,041432.37,37.2890290,127.1074502,113.200,-17.831,6.308,4
58,041432.75,37.2890297,127.1074468,113.200,-18.126,6.382,4
59,041433.12,37.2890305,127.1074435,113.200,-18.422,6.475,4
60,041433.50,37.2890312,127.1074402,113.200,-18.717,6.549,4
61,041433.87,37.2890320,127.1074368,113.200,-19.012,6.642,4
62,041434.37,37.2890330,127.1074325,113.200,-19.396,6.753,4
63,041434.75,37.2890338,127.1074292,113.200,-19.691,6.846,4
64,041435.12,37.2890345,127.1074257,113.200,-20.001,6.920,4
65,041435.50,37.2890353,127.1074223,113.200,-20.296,7.013,4
66,041435.87,37.2890362,127.1074190,113.200,-20.591,7.106,4
67,041436.25,37.2890370,127.1074157,113.200,-20.887,7.199,4
68,041436.62,37.2890378,127.1074122,113.200,-21.197,7.291,4
69,041437.00,37.2890385,127.1074088,113.200,-21.492,7.366,4
70,041437.37,37.2890393,127.1074055,113.200,-21.787,7.458,4
71,041437.87,37.2890407,127.1074018,113.200,-22.112,7.607,4
72,041438.37,37.2890417,127.1073983,113.200,-22.422,7.718,4
73,041438.87,37.2890427,127.1073945,113.300,-22.761,7.830,4
74,041439.37,37.2890437,127.1073905,113.300,-23.115,7.941,4
75,041439.87,37.2890447,127.1073868,113.400,-23.440,8.052,4
76,041440.37,37.2890458,127.1073830,113.400,-23.780,8.182,4
77,041440.87,37.2890467,127.1073790,113.400,-24.134,8.275,4
78,041441.37,37.2890477,127.1073752,113.500,-24.473,8.386,4
79,041441.87,37.2890487,127.1073712,113.500,-24.828,8.497,4
80,041442.37,37.2890498,127.1073670,113.500,-25.197,8.627,4
81,041442.87,37.2890508,127.1073630,113.600,-25.551,8.739,4
82,041443.37,37.2890518,127.1073587,113.600,-25.935,8.850,4
83,041443.87,37.2890530,127.1073548,113.700,-26.274,8.980,4
84,041444.37,37.2890542,127.1073508,113.700,-26.629,9.110,4
85,041444.87,37.2890553,127.1073467,113.800,-26.998,9.240,4
86,041445.37,37.2890565,127.1073427,113.800,-27.352,9.369,4
87,041445.87,37.2890577,127.1073385,113.800,-27.721,9.499,4
88,041446.37,37.2890588,127.1073343,113.900,-28.090,9.629,4
89,041446.87,37.2890598,127.1073302,113.900,-28.459,9.740,4
90,041447.37,37.2890610,127.1073260,114.000,-28.828,9.870,4
91,041447.87,37.2890622,127.1073218,114.000,-29.197,10.000,4
92,041448.37,37.2890633,127.1073177,114.000,-29.566,10.130,4
93,041448.75,37.2890642,127.1073143,114.100,-29.861,10.223,4
94,041449.25,37.2890655,127.1073103,114.100,-30.215,10.371,4
95,041449.62,37.2890662,127.1073070,114.200,-30.511,10.446,4
96,041450.00,37.2890672,127.1073038,114.200,-30.791,10.557,4
97,041450.50,37.2890683,127.1072997,114.300,-31.160,10.687,4
98,041450.87,37.2890693,127.1072965,114.300,-31.441,10.798,4
99,041451.37,37.2890705,127.1072923,114.300,-31.810,10.928,4
100,041451.75,37.2890713,127.1072890,114.400,-32.105,11.021,4
101,041452.12,37.2890722,127.1072857,114.400,-32.400,11.113,4
102,041452.62,37.2890735,127.1072817,114.500,-32.754,11.262,4
103,041453.12,37.2890747,127.1072775,114.500,-33.123,11.392,4
104,041453.50,37.2890755,127.1072742,114.600,-33.419,11.485,4
105,041454.00,37.2890767,127.1072700,114.600,-33.788,11.614,4
106,041454.50,37.2890780,127.1072658,114.700,-34.157,11.763,4
107,041454.87,37.2890790,127.1072627,114.700,-34.437,11.874,4
108,041455.37,37.2890802,127.1072583,114.700,-34.821,12.004,4
109,041455.75,37.2890812,127.1072550,114.800,-35.116,12.115,4
110,041456.12,37.2890822,127.1072517,114.800,-35.411,12.227,4
111,041456.50,37.2890830,127.1072480,114.800,-35.736,12.319,4
112,041456.87,37.2890840,127.1072443,114.900,-36.061,12.431,4
113,041457.25,37.2890852,127.1072407,114.900,-36.385,12.561,4
114,041457.62,37.2890862,127.1072367,114.900,-36.740,12.672,4
115,041458.00,37.2890873,127.1072323,114.900,-37.124,12.802,4
116,041458.37,37.2890885,127.1072282,114.900,-37.493,12.932,4
117,041458.75,37.2890898,127.1072235,114.900,-37.906,13.080,4
118,041459.12,37.2890908,127.1072190,114.800,-38.304,13.191,4
119,041459.50,37.2890920,127.1072147,114.800,-38.688,13.321,4
120,041459.87,37.2890932,127.1072103,114.700,-39.072,13.451,4
121,041500.25,37.2890942,127.1072058,114.700,-39.471,13.562,4
