idx,lat,lon,east_m,north_m,yaw_rad,yaw_deg,s_m,segment_type,zone_id,inside_zone,state,parking_mode,drive_mode
0,37.30417430,127.90753280,0.000000,0.000000,-2.358178615,-135.113682,0.000000,STRAIGHT,0,0,0,none,mission
1,37.30417273,127.90753083,-0.174808,-0.174115,-2.358178615,-135.113682,0.246726,STRAIGHT,0,0,0,none,mission
2,37.30417116,127.90752886,-0.349615,-0.348231,-2.358178615,-135.113682,0.493453,STRAIGHT,0,0,0,none,mission
3,37.30416959,127.90752688,-0.524423,-0.522346,-2.358178615,-135.113682,0.740179,STRAIGHT,0,0,0,none,mission
4,37.30416802,127.90752491,-0.699231,-0.696462,-2.358178615,-135.113682,0.986905,STRAIGHT,0,0,0,none,mission
5,37.30416646,127.90752294,-0.874038,-0.870577,-2.358178615,-135.113682,1.233632,STRAIGHT,0,0,0,none,mission
6,37.30416489,127.90752097,-1.048846,-1.044692,-2.358178615,-135.113682,1.480358,STRAIGHT,0,0,0,none,mission
7,37.30416332,127.90751900,-1.223654,-1.218808,-2.358178615,-135.113682,1.727085,STRAIGHT,0,0,0,none,mission
8,37.30416175,127.90751703,-1.398462,-1.392923,-2.358178615,-135.113682,1.973811,STRAIGHT,0,0,0,none,mission
9,37.30416018,127.90751505,-1.573269,-1.567038,-2.358178615,-135.113682,2.220537,STRAIGHT,0,0,0,none,mission
10,37.30415861,127.90751308,-1.748077,-1.741154,-2.358178615,-135.113682,2.467264,STRAIGHT,0,0,0,none,mission
11,37.30415704,127.90751111,-1.922885,-1.915269,-2.358178615,-135.113682,2.713990,STRAIGHT,0,0,0,none,mission
12,37.30415547,127.90750914,-2.097692,-2.089385,-2.358178615,-135.113682,2.960716,STRAIGHT,0,0,0,none,mission
13,37.30415391,127.90750717,-2.272500,-2.263500,-2.358178615,-135.113682,3.207443,STRAIGHT,0,0,0,none,mission
14,37.30415234,127.90750520,-2.447308,-2.437615,-2.358178615,-135.113682,3.454169,STRAIGHT,0,0,0,none,mission
15,37.30415077,127.90750322,-2.622115,-2.611731,-2.358178615,-135.113682,3.700895,STRAIGHT,0,0,0,none,mission
16,37.30414920,127.90750125,-2.796923,-2.785846,-2.358178615,-135.113682,3.947622,STRAIGHT,0,0,0,none,mission
17,37.30414763,127.90749928,-2.971731,-2.959962,-2.358178615,-135.113682,4.194348,STRAIGHT,0,0,0,none,mission
18,37.30414606,127.90749731,-3.146538,-3.134077,-2.358178615,-135.113682,4.441074,STRAIGHT,0,0,0,none,mission
19,37.30414449,127.90749534,-3.321346,-3.308192,-2.358178615,-135.113682,4.687801,STRAIGHT,0,0,0,none,mission
20,37.30414292,127.90749336,-3.496154,-3.482308,-2.358178615,-135.113682,4.934527,STRAIGHT,0,0,0,none,mission
21,37.30414135,127.90749139,-3.670962,-3.656423,-2.358178615,-135.113682,5.181254,STRAIGHT,0,0,0,none,mission
22,37.30413979,127.90748942,-3.845769,-3.830538,-2.358178615,-135.113682,5.427980,STRAIGHT,0,0,0,none,mission
23,37.30413822,127.90748745,-4.020577,-4.004654,-2.358178615,-135.113682,5.674706,STRAIGHT,0,0,0,none,mission
24,37.30413665,127.90748548,-4.195385,-4.178769,-2.358178615,-135.113682,5.921433,STRAIGHT,0,0,0,none,mission
25,37.30413508,127.90748351,-4.370192,-4.352885,-2.358178615,-135.113682,6.168159,STRAIGHT,0,0,0,none,mission
26,37.30413351,127.90748153,-4.545000,-4.527000,-2.358178615,-135.113682,6.414885,STRAIGHT,0,0,4,none,mission
